manufacturer_name,model_name,target_group,target_type,priority_tier,status,source_hint,notes
Acoustical Systems,AQUILAR Reference 10-inch,AQUILAR,boutique-upgrade,secondary,hydrated,stereophile review / official page,"Stereophile 2025 10 inch Acoustical Systems target aligned to current official lineup naming (AQUILAR for 10 inch, AXIOM for 12 inch)."
Acoustical Systems,AXIOM Reference 12-inch,AXIOM,boutique-upgrade,secondary,hydrated,stereophile review / official page,Stereophile 2025 recommended 12 inch AXIOM Reference arm.
Air Tangent,2A,2-Series,parallel-tracker,secondary,superseded,manual / archival specs,Legacy external-list target retained for traceability but superseded in active follow-up by exact archived official Air Tangent models that are currently corroborated.
Air Tangent,2B,2-Series,parallel-tracker,secondary,hydrated,manual / archival specs,Flagship Air Tangent linear tracker target.
Air Tangent,Model 2002,2000-Series,parallel-tracker,secondary,hydrated,official archived website,Archived official Airtangent homepage exact model succeeding the earlier Reference site revision.
Air Tangent,Reference,Reference,parallel-tracker,secondary,hydrated,official archived website,Archived official Airtangent homepage exact model preceding the later Model 2002 site revision.
Alphason Designs,HR-100MCS,HR-100,standalone-upgrade,secondary,hydrated,archival brochure / review,Classic Alphason flagship target.
Alphason Designs,HR-100S,HR-100,standalone-upgrade,secondary,hydrated,archival brochure / review,Classic Alphason tonearm target.
Audio Creative,Groovemaster 4,Groovemaster,boutique-upgrade,secondary,hydrated,The Ear review / official page,"Current Groovemaster flagship highlighted by The Ear; available in 9-inch, 10-inch, and 12-inch forms."
Audio Note,Arm One/II,Arm,boutique-upgrade,secondary,hydrated,official page / brochure,Current Audio Note entry-level arm target.
Audio Note,Arm Three/II,Arm,boutique-upgrade,secondary,hydrated,official page / brochure,Current Audio Note higher-tier arm target.
Audio-Technica,AT-1001/1005II/1007/1009,AT-1000,standalone-upgrade,secondary,hydrated,legacy table / official follow-up,Grouped historic Audio-Technica 10-inch arm family from legacy DB row.
Audio-Technica,AT-1100/1010/1120,AT-1100,standalone-upgrade,secondary,hydrated,legacy table / official follow-up,Grouped historic Audio-Technica arm family from legacy DB row.
Audio-Technica,AT-1501II,AT-1501,standalone-upgrade,secondary,hydrated,legacy table / official follow-up,Historic Audio-Technica exact legacy row to validate against better sources.
Audio-Technica,"AT-1501III, IV",AT-1501,standalone-upgrade,secondary,hydrated,legacy table / official follow-up,Grouped historic Audio-Technica AT-1501 variants from legacy DB row.
Audio-Technica,AT-1503II,AT-1503,standalone-upgrade,secondary,hydrated,legacy table / official follow-up,Historic Audio-Technica exact legacy row to validate against better sources.
Audio-Technica,"AT-1503III, IV, IIIa",AT-1503,standalone-upgrade,secondary,hydrated,legacy table / official follow-up,Grouped historic Audio-Technica AT-1503 variants from legacy DB row.
Audiomods,Series Six,Series,boutique-upgrade,secondary,superseded,manual/product research,"Replaced by exact Series Six 9-inch Rega, 9-inch Linn, and 10.5-inch variants."
Audiomods,Series Six 10.5-inch,Series,boutique-upgrade,secondary,hydrated,official dimensions pdf,Exact-model Audiomods Series Six variant from official dimensions sheet.
Audiomods,Series Six 9-inch Linn,Series,boutique-upgrade,secondary,hydrated,official dimensions pdf,Exact-model Audiomods Series Six variant from official dimensions sheet.
Audiomods,Series Six 9-inch Rega,Series,boutique-upgrade,secondary,hydrated,official dimensions pdf,Exact-model Audiomods Series Six variant from official dimensions sheet.
Basis Audio,Vector,Vector,turntable-combo,secondary,superseded,catalog/manual research,Replaced by exact Vector 4 variant currently represented in the DB.
Basis Audio,Vector 4,Vector,turntable-combo,secondary,hydrated,official product page,Current Vector family tonearm with public specs.
Clearaudio,Tracer Black Carbon Fiber,Tracer,boutique-upgrade,secondary,hydrated,stereophile review / official page,Stereophile 2025 recommended Clearaudio arm.
Dr. Feickert,Straight-10,Straight,turntable-combo,secondary,hydrated,review + dealer listing,Current Dr. Feickert branded tonearm with published geometry and mount data.
Durand,Talea,Durand,boutique-upgrade,secondary,hydrated,official page / review,Durand Talea target from broad manufacturer-gap follow-up.
Durand,Tosca,Durand,boutique-upgrade,secondary,hydrated,official page / review,Durand Tosca target from broad manufacturer-gap follow-up.
Dynavector,DV-501/505/507,DV,standalone-upgrade,secondary,hydrated,legacy table / official follow-up,Grouped Dynavector arm family currently present only as a legacy DB row.
EMT,909-HI,900-Series,boutique-upgrade,secondary,hydrated,stereophile review / official page,Stereophile 2025 recommended EMT 9 inch arm.
EMT,912,900-Series,boutique-upgrade,secondary,hydrated,stereophile review / official page,Stereophile 2025 recommended EMT 12 inch arm.
Fidelity Research,FR-12,FR,standalone-upgrade,secondary,hydrated,legacy table / official follow-up,Historic Fidelity Research arm family follow-up from legacy DB row.
Fidelity Research,FR-14/FR-24/FR-54/FR-64,FR,standalone-upgrade,secondary,hydrated,legacy table / official follow-up,Grouped Fidelity Research arm family follow-up from legacy DB row.
Fidelity Research,FR-34,FR,standalone-upgrade,secondary,hydrated,legacy table / official follow-up,Historic Fidelity Research exact legacy row to validate against better sources.
Fidelity Research,FR-66S,FR-66,standalone-upgrade,secondary,hydrated,legacy table / official follow-up,Historic Fidelity Research flagship follow-up from legacy DB row.
Fidelity Research,FR-66fx,FR-66,standalone-upgrade,secondary,hydrated,legacy table / official follow-up,Historic Fidelity Research late flagship follow-up from legacy DB row.
Glanz,MH-1000S,S-Type,boutique-upgrade,secondary,hydrated,official collection page,Current Glanz 10-inch S-Type tonearm.
Glanz,MH-104S,Legacy S-Type,boutique-upgrade,secondary,hydrated,official end-of-sale page,Legacy Glanz 10-inch tonearm still documented on official site.
Glanz,MH-10B,B-Type,boutique-upgrade,secondary,hydrated,official collection page,Current Glanz 10-inch B-Type tonearm.
Glanz,MH-10Bt,Bt-Type,boutique-upgrade,secondary,hydrated,official collection page,Current Glanz 10-inch Bt-Type tonearm.
Glanz,MH-1200S,S-Type,boutique-upgrade,secondary,hydrated,official collection page,Current Glanz 12-inch S-Type tonearm.
Glanz,MH-124S,Legacy S-Type,boutique-upgrade,secondary,hydrated,official end-of-sale page,Legacy Glanz 12-inch tonearm still documented on official site.
Glanz,MH-12SUS (MH-124S Premium),Premium,boutique-upgrade,secondary,hydrated,official collection page,Current Glanz premium 12-inch tonearm.
Glanz,MH-900S,S-Type,boutique-upgrade,secondary,hydrated,official collection page,Current Glanz 9-inch S-Type tonearm.
Glanz,MH-94S,Legacy S-Type,boutique-upgrade,secondary,hydrated,official end-of-sale page,Legacy Glanz 9-inch tonearm still documented on official site.
Glanz,MH-9B,B-Type,boutique-upgrade,secondary,hydrated,official collection page,Current Glanz 9-inch B-Type tonearm.
Glanz,MH-9Bt,Bt-Type,boutique-upgrade,secondary,hydrated,official collection page,Current Glanz 9-inch Bt-Type tonearm.
Gold Note,B-5.1,B-Series,boutique-upgrade,secondary,superseded,official product page,Legacy B-5.1 page now resolves to B-5.2 content; replaced by exact B-5.2 target.
Gold Note,B-5.2,B-Series,boutique-upgrade,secondary,hydrated,official product page,Current Gold Note arm with public official specs; official legacy B-5.1 URL now serves B-5.2 content.
Gold Note,B-7 Ceramic,B-Series,boutique-upgrade,secondary,hydrated,official product page,Flagship Gold Note arm with public official specs.
Goldmund,T3F,T-Series,standalone-upgrade,secondary,hydrated,archival manual / review,Classic Goldmund linear-tracking arm target.
Goldmund,T5,T-Series,standalone-upgrade,secondary,hydrated,archival manual / review,Classic Goldmund pivoted-arm target.
J.Sikora,KV12 VTA,KV,turntable-combo,secondary,hydrated,stereophile review / official page,Stereophile 2025 recommended J.Sikora arm.
Korf,TA-SF11R,TA-SF,boutique-upgrade,secondary,hydrated,official product page,Longer removable-headshell Korf arm.
Korf,TA-SF9,TA-SF,boutique-upgrade,secondary,hydrated,official product page,Fixed-headshell Korf reference arm.
Korf,TA-SF9R,TA-SF,boutique-upgrade,secondary,hydrated,stereophile review / official product page,J-shaped removable-headshell Korf arm listed by Stereophile 2025.
Koshin,GST-1,GST,standalone-upgrade,secondary,hydrated,manual / review,Classic Koshin flagship tonearm target.
Koshin,GST-801,GST,standalone-upgrade,secondary,hydrated,manual / review,Classic Koshin tonearm target.
Kuzma,Stogi S 12-inch,Kuzma family,upgrade-arm,secondary,hydrated,official product page,Exact official Stogi S 12 variant from official tonearms table.
Kuzma,Stogi S 12-inch VTA,Kuzma family,upgrade-arm,secondary,hydrated,official product page,Exact official Stogi S 12VTA variant from official tonearms table.
Linn,Ekos SE,Ekos,standalone-upgrade,secondary,hydrated,stereophile review / official page,Stereophile 2025 recommended Linn arm.
Michell,T2 Tonearm,T-Series,boutique-upgrade,secondary,hydrated,official product page,Current Michell entry-level tonearm.
Michell,T8 Tonearm,T-Series,boutique-upgrade,secondary,hydrated,official product page,Current Michell audiophile tonearm.
Michell,TecnoArm 2,TecnoArm,boutique-upgrade,secondary,hydrated,official product page,Current Michell reference-class tonearm.
Micro Seiki,MA-505,MA,standalone-upgrade,secondary,hydrated,manual / archival specs,Classic Micro Seiki MA-series arm target.
Micro Seiki,MA-707,MA,standalone-upgrade,secondary,hydrated,manual / archival specs,Classic Micro Seiki MA-series arm target.
Moerch,DP-6 12-inch,DP,boutique-upgrade,secondary,hydrated,official page,Exact 12 inch DP-6 variant from official Moerch specifications.
Moerch,DP-6 9-inch,DP,boutique-upgrade,secondary,hydrated,official page,Exact 9 inch DP-6 variant from official Moerch specifications.
Moerch,DP-8 12-inch,DP,boutique-upgrade,secondary,hydrated,official page,Exact 12 inch DP-8 variant from official Moerch specifications.
Moerch,DP-8 9-inch,DP,boutique-upgrade,secondary,hydrated,official page,Exact 9 inch DP-8 variant from official Moerch specifications.
Moerch,UP-4 12-inch,UP-4,boutique-upgrade,secondary,hydrated,official page,Exact 12 inch UP-4 variant from official Moerch specifications.
Moerch,UP-4 9-inch,UP-4,boutique-upgrade,secondary,hydrated,official page,Exact 9 inch UP-4 variant from official Moerch specifications.
Music Hall,MMF-1.3,MMF,turntable-combo,secondary,hydrated,official product page,Entry Music Hall turntable with published tonearm geometry.
Music Hall,MMF-2.3,MMF,turntable-combo,secondary,hydrated,official product page,Current Music Hall turntable with published tonearm geometry.
Music Hall,MMF-3.3,MMF,turntable-combo,secondary,hydrated,official product page,Current Music Hall turntable with published tonearm geometry.
Music Hall,MMF-5.3,MMF,turntable-combo,secondary,hydrated,official product page,Current Music Hall turntable with published tonearm geometry.
Music Hall,MMF-7.3,MMF,turntable-combo,secondary,hydrated,official product page,Current Music Hall turntable with published tonearm geometry.
Music Hall,MMF-9.3,MMF,turntable-combo,secondary,hydrated,official product page,Current Music Hall turntable with published tonearm geometry.
Ortofon,AS-212R,Reference,boutique-upgrade,secondary,hydrated,official product page,Current 9 inch Reference tonearm.
Ortofon,AS-309R,Reference,boutique-upgrade,secondary,hydrated,official userguide,Current 12 inch Reference tonearm.
Ortofon,RS-212D,RS D-Series,boutique-upgrade,secondary,hydrated,official product page,Current 9 inch dynamic-balance tonearm.
Ortofon,RS-309D,RS D-Series,boutique-upgrade,secondary,hydrated,official product family,Current 12 inch dynamic-balance tonearm.
Pear Audio,Cornet 1,Cornet,boutique-upgrade,secondary,hydrated,catalog / review follow-up,Pear Audio tonearm family target from catalog and review references.
Pear Audio,Cornet 2,Cornet,boutique-upgrade,secondary,hydrated,catalog / review follow-up,Pear Audio tonearm family target from catalog and review references.
Pear Audio,Cornet 3,Cornet,boutique-upgrade,secondary,hydrated,catalog / review follow-up,Pear Audio tonearm family target from catalog and review references.
Pro-Ject,10cc Evolution,Evolution,turntable-combo,secondary,hydrated,official pdf,Public geometry available.
Pro-Ject,12cc Evolution,Evolution,turntable-combo,secondary,hydrated,official pdf,Public geometry available.
Pro-Ject,9cc Evolution,Evolution,turntable-combo,secondary,hydrated,official pdf,Public geometry available.
Rabco,SL-8,SL-8,parallel-tracker,secondary,hydrated,manual / archival specs,Classic Rabco linear-tracking arm target.
Rabco,SL-8E,SL-8,parallel-tracker,secondary,hydrated,manual / archival specs,Later Rabco linear-tracking arm target with servo-drive follow-up.
Reed,1H 10.5-inch,1H,boutique-upgrade,secondary,hydrated,official page,Exact 10.5 inch Reed 1H variant from official page.
Reed,1H 12-inch,1H,boutique-upgrade,secondary,hydrated,official page,Exact 12 inch Reed 1H variant from official page.
Reed,1H 9.5-inch,1H,boutique-upgrade,secondary,hydrated,official page,Exact 9.5 inch Reed 1H variant from official page.
Reed,3P 10.5-inch,3P,boutique-upgrade,secondary,hydrated,official page,Exact 10.5 inch Reed 3P variant from official page.
Reed,3P 12-inch,3P,boutique-upgrade,secondary,hydrated,official page,Exact 12 inch Reed 3P variant from official page.
Reed,3P 9.5-inch,3P,boutique-upgrade,secondary,hydrated,official page,Exact 9.5 inch Reed 3P variant from official page.
SAT,LM-09,LM,boutique-upgrade,secondary,hydrated,official geometry paper,Official geometry surfaced.
SAT,LM-12,LM,boutique-upgrade,secondary,hydrated,official geometry paper,Official geometry surfaced.
Saec,WE-308SX,WE,standalone-upgrade,secondary,hydrated,archival specs / review,Classic Saec pivoted-arm target promoted from seeded DB presence.
Saec,WE-407/23,WE,standalone-upgrade,secondary,hydrated,archival specs / review,Classic Saec 12-inch transcription-arm target promoted from seeded DB presence.
Schick,Schick 10.5-inch Tonearm,Schick,boutique-upgrade,secondary,hydrated,stereophile review / official page,Stereophile 2025 recommended Thomas Schick 10.5 inch arm.
Schick,Schick 12-inch Tonearm,Schick,boutique-upgrade,secondary,hydrated,stereophile review / official page,Stereophile 2025 recommended Thomas Schick 12 inch arm.
Schroeder,CB,CB,boutique-upgrade,secondary,superseded,manual/product research,Replaced by exact CB 9-inch and CB-L 12-inch variants.
Schroeder,CB 9-inch,CB,boutique-upgrade,secondary,hydrated,dealer spec page,Exact 9 inch CB variant from detailed spec table.
Schroeder,CB-L 12-inch,CB,boutique-upgrade,secondary,hydrated,dealer spec page,Exact 12 inch CB-L variant from detailed spec table.
Schroeder,DPS,DPS,boutique-upgrade,secondary,hydrated,official manual,Official manual provides mounting geometry and alignment guidance for the DPS arm.
Schroeder,Model 2,No.2,boutique-upgrade,secondary,hydrated,official manual,Official manual provides mounting geometry and Baerwald alignment guidance.
Schroeder,Reference,Reference,boutique-upgrade,secondary,hydrated,official mounting scheme,Flagship Schroeder pivot arm.
Sorane,SA-1.2,SA,boutique-upgrade,secondary,hydrated,official manual / stereophile review,Stereophile 2025 recommended Sorane arm already represented in the DB.
Sorane,TA-1,TA,boutique-upgrade,secondary,hydrated,stereophile 2025 review / official page,Stereophile 2025 listed Sorane TA-1 as a recommendable conventional gimbal-bearing arm.
TW-Acustic,Raven 10.5,Raven,turntable-combo,secondary,hydrated,official/manualslib,Public user manual exists.
TW-Acustic,Raven 12-inch,Raven,turntable-combo,secondary,hydrated,stereophile review / official follow-up,Stereophile 2025 recommended 12 inch Raven arm target.
TechDAS,Air Force 10,Air Force,turntable-combo,secondary,superseded,official specs,Replaced by exact Air Force 10 10-inch and 12-inch variants.
TechDAS,Air Force 10 10-inch,Air Force,turntable-combo,secondary,hydrated,official leaflet,Hydrated from public TechDAS geometry leaflet.
TechDAS,Air Force 10 12-inch,Air Force,turntable-combo,secondary,hydrated,official leaflet,Hydrated from public TechDAS geometry leaflet.
Thales,Simplicity II,Simplicity,boutique-upgrade,secondary,hydrated,brochure,Official geometry surfaced.
Thales,Statement,Reference,boutique-upgrade,secondary,hydrated,brochure,Official geometry surfaced.
VPI,12-inch FatBoy gimbaled,FatBoy,turntable-combo,secondary,hydrated,stereophile review / official page,Stereophile 2025 recommended VPI gimbaled FatBoy arm.
VPI,Fatboy JMW 9 3D,JMW,turntable-combo,secondary,hydrated,official page,Hydrated in batch 003.
VPI,JMW-10,JMW,turntable-combo,secondary,hydrated,official page,Exact current JMW-10 metal/unipivot family model from official geometry page.
VPI,JMW-10 3D,JMW,turntable-combo,secondary,hydrated,official page,Hydrated in batch 003.
VPI,JMW-10.5,JMW,turntable-combo,secondary,hydrated,VPI manuals,Combo arm family target.
VPI,JMW-10.5i,JMW,turntable-combo,secondary,hydrated,secondary geometry analysis + official legacy pages,JMW-10.5i existence confirmed by official VPI legacy pages; geometry currently sourced from secondary analysis.
VPI,JMW-12,JMW,turntable-combo,secondary,superseded,VPI manuals,Replaced by exact JMW-12 3D target on the current VPI unipivot page.
VPI,JMW-12 3D,JMW,turntable-combo,secondary,hydrated,official page,Exact current 12 inch 3D VPI target.
VPI,JMW-9,JMW,turntable-combo,secondary,hydrated,VPI manuals,Combo arm family target.
Vertere Acoustics,Reference Tonearm (Gen III),Reference,boutique-upgrade,secondary,hydrated,official tonearm page,Current Vertere flagship reference tonearm page on official site.
Vertere Acoustics,Super Groove II Pathfinder Tonearm,Super Groove,boutique-upgrade,secondary,hydrated,official tonearm page,Current Vertere SG-II Pathfinder tonearm page on official site.
Vertere Acoustics,Super Groove Precision Tonearm,Super Groove,boutique-upgrade,secondary,hydrated,official tonearm page,Current Vertere SG-1-related precision tonearm page on official site.
ViV Laboratory,Rigid Float HA9,Rigid Float,boutique-upgrade,secondary,hydrated,stereophile review / official page,Stereophile 2025 recommended underhung ViV arm.
Wand,Master 12-inch,Master,boutique-upgrade,secondary,hydrated,stereophile review / official page,Stereophile 2025 Wand target aligned to current official lineup naming (Plus/Master series; 12-inch Master arm).
Well Tempered Lab,LTD,LTD,boutique-upgrade,secondary,superseded,official manual,Replaced by exact LTD 10.5-inch and LTD 16-inch variants.
Well Tempered Lab,LTD 10.5-inch,LTD,boutique-upgrade,secondary,hydrated,official manual,Hydrated from standalone LTD manual.
Well Tempered Lab,LTD 16-inch,LTD,boutique-upgrade,secondary,hydrated,official brochure,Hydrated from Royale 400 brochure.
Wilson Benesch,A.C.T. 0.5,ACT,boutique-upgrade,secondary,hydrated,official manual,Exact Wilson Benesch target retained; grouped BIGLOBE row kept for provenance only.
Wilson Benesch,A.C.T. 25,ACT,boutique-upgrade,secondary,hydrated,official brochure,Exact Wilson Benesch target retained; grouped BIGLOBE row kept for provenance only.
Wilson Benesch,A.C.T. Two,ACT,boutique-upgrade,secondary,hydrated,official manual,Exact Wilson Benesch target retained; grouped BIGLOBE row kept for provenance only.
Wilson Benesch,Nanotube One,Nanotube,boutique-upgrade,secondary,hydrated,official brochure,Exact Wilson Benesch target retained; grouped BIGLOBE row kept for provenance only.
AMG,12J2 & 12JT,12J2 & 12JT,tonearm,backlog,queued,user workbook: TonearmDatabaseWTv4.xlsx,"Imported from workbook TonearmDatabaseWTv4.xlsx; source_manufacturer=AMG; effective_length_raw=305; effective_length_source=manual; mounting_distance_raw=291.4; mounting_distance_source=manual; workbook_notes=agreed, but their eff len is Leofgren"
AMG,9W2 & 9WT,9W2 & 9WT,tonearm,backlog,queued,user workbook: TonearmDatabaseWTv4.xlsx,Imported from workbook TonearmDatabaseWTv4.xlsx; source_manufacturer=AMG; effective_length_raw=229; effective_length_source=website; mounting_distance_raw=211; mounting_distance_source=website; workbook_notes=agreed
Acoustic Signature,"12"" arms","12"" arms",tonearm,backlog,queued,user workbook: TonearmDatabaseWTv4.xlsx,Imported from workbook TonearmDatabaseWTv4.xlsx; source_manufacturer=Acoustic Signature; effective_length_raw=308.8; effective_length_source=website; mounting_distance_raw=295.6; mounting_distance_source=manufacturer spec doc.; workbook_notes=multiple arms same dimensions
Acoustic Signature,"9"" arms","9"" arms",tonearm,backlog,queued,user workbook: TonearmDatabaseWTv4.xlsx,Imported from workbook TonearmDatabaseWTv4.xlsx; source_manufacturer=Acoustic Signature; effective_length_raw=239.3; effective_length_source=website; mounting_distance_raw=222; mounting_distance_source=manufacturer spec doc.; workbook_notes=multiple arms same dimensions
Acoustical Systems,Aquilar 10,Aquilar 10,tonearm,backlog,queued,user workbook: TonearmDatabaseWTv4.xlsx,Imported from workbook TonearmDatabaseWTv4.xlsx; source_manufacturer=Acoustical Systems
Acoustical Systems,"Axiom 12""","Axiom 12""",tonearm,backlog,queued,user workbook: TonearmDatabaseWTv4.xlsx,Imported from workbook TonearmDatabaseWTv4.xlsx; source_manufacturer=Acoustical Systems; effective_length_raw=300
Acoustical Systems,Titan Grand Complication,Titan Grand Complication,tonearm,backlog,queued,user workbook: TonearmDatabaseWTv4.xlsx,Imported from workbook TonearmDatabaseWTv4.xlsx; source_manufacturer=Acoustical Systems
