Manufacturer,Model,Effective Length,Overhang,Offset Angle,Null Points,Null Alignment Type,Effective Mass,Cartridge Range Low,Cartridge Range High,Arm Mount,Null Point Inner,Null Point Outer,Sources
Breuer,Type 7 & 8,249.44,18.0,23.1,68/128,Other,,,,,68.0,128.0,"BIGLOBE Arm Data,Library | Vinyl Engine,The Breuer Dynamic Type 5A pickup arm."
Brinkmann,10.5,266.7,15.8,20.5,66/121,Baewald,12.0,4.0,16.0,,66.0,121.0,"Brinkmann 10.5 official product page,BIGLOBE Arm Data"
Clearaudio,Clarify,239.25,,,,Unknown,,,,,,,"James Morrow Clearaudio Clarify page,Clearaudio official homepage,Analogue Seduction Clearaudio Clarify page"
Clearaudio,Concept,,,,,Unknown,,,,,,,Musical Surroundings Clearaudio Concept Tonearm page
Clearaudio,Magnify,239.3,,,,Unknown,,,,,,,"Auditorium Clearaudio Magnify page,Clearaudio official homepage"
Clearaudio,Satisfy Kardan,239.12,,,,Unknown,,,,,,,"Noteworthy Audio Clearaudio Satisfy Kardan page,Musical Surroundings Clearaudio Satisfy Black page"
Clearaudio,Tracer,,16.5,25.54,,Unknown,,,,,,,"Clearaudio official homepage,Analogue Seduction Clearaudio Tracer page"
Clearaudio,Tracer Black Carbon Fiber,239.12,17.12,25.0,,Other,,3.5,17.0,,,,Clearaudio Tracer official product page
Clearaudio,"Unify 10""",254.0,,,,Unknown,,,,,,,"Auditorium Clearaudio Unify page,Clearaudio official homepage"
Clearaudio,"Unify 12""",316.86,,,,Unknown,,,,,,,"Auditorium Clearaudio Unify page,Clearaudio official homepage"
Clearaudio,"Unify 14""",338.98,,,,Unknown,,,,,,,"Auditorium Clearaudio Unify page,Clearaudio official homepage"
Clearaudio,"Unify 9""",239.3,17.3,23.8,66/121,Other,,2.5,17.0,,66.0,121.0,"Clearaudio Unify official product page,BIGLOBE Arm Data"
Clearaudio,"Universal 12""",,,,,Unknown,,,,,,,Musical Surroundings Clearaudio Universal 12 page
Clearaudio,"Universal 9""",,,,,Unknown,,,,,,,Musical Surroundings Clearaudio Universal 9 page
Clearaudio,Verify,,,,,Unknown,,2.5,,,,,"Analogue Seduction Clearaudio Verify page,Clearaudio official homepage"
Decca,International & Professional for transcription 12-16inches and SP record as well?,228.6,15.875,26.0,45/155,Other,,,,,45.0,155.0,"BIGLOBE Arm Data,DECCA London International Arm Specifications Decker"
Denon,DA-302/304/308/1000,282.0,12.5,18.0,61/114,Other,,,,,61.0,114.0,"BIGLOBE Arm Data,DENON/Columbia DA-302の仕様 デノン/デンオン/コロンビア,DENON DA-304の仕様 デノン/デンオン,DENON DA-308の仕様 デノン/デンオン"
Denon,DA-303/305/307/309/401,244.0,14.0,20.5,60/111 (56/119),Other,,,,,60.0,111.0,"BIGLOBE Arm Data,DENON/Columbia DA-303 デノン/デンオン/コロンビア,DENON DA-305の仕様 デノン/デンオン,DENON DA-307の仕様 デノン/デンオン,DENON DA-309 デノン/デンオン,DENON DA-401の仕様 デノン/デンオン"
Dr. Feickert,Straight-10,254.0,16.2,21.6,,Baewald,12.0,6.0,15.0,Japanese Industry Standard (JIS) collar / 3-screw pattern,,,"Dr. Feickert Straight-10 review,DFA Straight-10 dealer listing,High End 2025 - Feickert Analogue"
Durand,Talea,263.0,15.66,20.81,,Baewald,,,,,,,Durand Talea II official page
Durand,Tosca,258.5,15.92,21.2,,Baewald,,,,,,,Durand Tosca official page
Dynavector,DV-501/505/507,241.0,15.0,21.5,60/117,Stevenson,,,,,60.0,117.0,"Dynavector DV 507 MkII official page,BIGLOBE Arm Data"
EMT,909-HI,246.75,16.75,22.25,,Baewald,10.2,10.0,25.0,,66.04,120.9,"EMT HI tonearm user manual,EMT HI tonearm datasheet"
EMT,912,310.15,13.15,17.55,,Baewald,11.4,8.0,25.0,,66.04,120.9,"EMT HI tonearm user manual,EMT HI tonearm datasheet"
EMT,929 (it is questionable that RF229/RMA229 made by Ortofon for EMT 930 turntable had exactly same geometry as EMT 929),244.0,14.0,20.833,57/117,Other,,,,,57.0,117.0,"EMT 929 mounting instructions for EMT 930,EMT International 929 & 997 historical product page,BIGLOBE Arm Data"
Empire,980 & 990,228.6,17.5,23.8,64/121? (53/131 and error+/-0.65degree?),Other,,,,,64.0,121.0,"BIGLOBE Arm Data,Empire 980 Stereo Wired Pick-up Arm Manual"
Excel,ES-1000 & Pro S1TA,240.0,17.25,22.9,66/121,Baewald,,,,,66.0,121.0,"BIGLOBE Arm Data,Excel Sound Corporation Manuals"
Excel,ES-801,237.0,15.0,22.0,57/120,Other,,,,,57.0,120.0,"BIGLOBE Arm Data,Excel Sound Corporation ES-801 Universal Static-Balance Type Tonearm Manual,LUXMAN PD310の仕様 ラックスマン"
Fidelity Research,FR-12,230.0,14.5,21.4,60/108,Other,,,,,60.0,108.0,"BIGLOBE Arm Data,hifi-wiki Fidelity Research Tone Arms,Fidelity-Research FR-14/FR-12の仕様 フィデリティリサーチ"
Fidelity Research,FR-14/FR-24/FR-54/FR-64,245.0,15.0,21.5,59/120,Stevenson,,,,,59.0,120.0,"TNT-Audio FR-64S review citing manual geometry,BIGLOBE Arm Data,Fidelity-Research FR-14/FR-12の仕様 フィデリティリサーチ,Fidelity-Research FR-24の仕様 フィデリティリサーチ,Fidelity-Research FR-54の仕様 フィデリティリサーチ,Fidelity-Research FR-64の仕様 フィデリティリサーチ"
Fidelity Research,FR-34,237.0,15.0,21.5,61/113,Other,,,,,61.0,113.0,"BIGLOBE Arm Data,hifi-wiki Fidelity Research Tone Arms,Fidelity-Research 昇圧トランス/トーンアーム一覧 フィデリティリサーチ"
Fidelity Research,FR-64S,245.0,15.0,,66.04 / 120.90 mm,Stevenson,35.0,,,,66.04,120.904,"TNT-Audio FR-64S review,Fidelity Research FR-60 series operating instructions (manual mirror),Fidelity-Research FR-64Sの仕様 フィデリティリサーチ"
Fidelity Research,FR-64fx,,,,66.04 / 120.90 mm,Stevenson,,,,,66.04,120.904,"Fidelity Research FR-60 series operating instructions (manual mirror),Fidelity Research FR-64fx operating-instructions scan"
Fidelity Research,FR-66,,,,66.04 / 120.90 mm,Stevenson,,,,,66.04,120.904,"Fidelity Research FR-60 series operating instructions (manual mirror),hifi-wiki Fidelity Research Tone Arms,Fidelity-Research FR-66/FR-66Sの仕様 フィデリティリサーチ"
Fidelity Research,FR-66S,307.0,12.0,16.66,66.04 / 120.90 mm,Stevenson,,,,,66.04,120.904,"Fidelity Research FR-60 series operating instructions (manual mirror),BIGLOBE Arm Data,Fidelity-Research FR-66/FR-66Sの仕様 フィデリティリサーチ"
Fidelity Research,FR-66fx,307.0,12.0,16.82,66.04 / 120.90 mm,Stevenson,,,,,66.04,120.904,"Fidelity Research FR-60 series operating instructions (manual mirror),BIGLOBE Arm Data,Fidelity-Research FR-66/FR-66Sの仕様 フィデリティリサーチ"
Glanz,MH-1000S,254.0,15.0,22.0,,Other,,16.0,46.0,16mm shaft / 30mm hole / up to 20mm fixing depth,,,Glanz S Type official page
Glanz,MH-104S,254.0,15.0,22.0,,Other,,16.0,45.0,16mm shaft / 30mm hole / up to 20mm fixing depth,,,Glanz legacy S official page
Glanz,MH-10B,254.0,15.0,22.0,,Other,,11.0,26.0,16mm shaft / 24mm hole / up to 29mm fixing depth,,,Glanz B Type official page
Glanz,MH-10Bt,254.0,15.0,22.0,,Other,,14.0,40.0,16mm shaft / 24mm hole / up to 29mm fixing depth,,,Glanz Bt Type official page
Glanz,MH-1200S,305.0,15.0,20.0,,Other,,16.0,43.0,16mm shaft / 30mm hole / up to 20mm fixing depth,,,Glanz S Type official page
Glanz,MH-124S,305.0,15.0,20.0,,Other,,14.0,38.0,16mm shaft / 30mm hole / up to 20mm fixing depth,,,Glanz legacy S official page
Glanz,MH-12SUS (MH-124S Premium),305.0,15.0,20.0,,Other,,12.0,36.0,16mm shaft / 30mm hole / up to 20mm fixing depth,,,Glanz Premium official page
Glanz,MH-900S,229.0,15.0,23.0,,Other,,16.0,49.0,16mm shaft / 30mm hole / up to 20mm fixing depth,,,Glanz S Type official page
Glanz,MH-94S,229.0,15.0,23.0,,Other,,15.0,36.0,16mm shaft / 30mm hole / up to 20mm fixing depth,,,Glanz legacy S official page
Glanz,MH-9B,229.0,15.0,23.0,,Other,,11.0,28.0,16mm shaft / 24mm hole / up to 29mm fixing depth,,,Glanz B Type official page
Glanz,MH-9Bt,229.0,15.0,23.0,,Other,,16.0,43.0,16mm shaft / 24mm hole / up to 29mm fixing depth,,,Glanz Bt Type official page
Gold Note,B-5.2,242.0,19.0,24.0,,Other,10.0,,,23 mm inserting plinth shaft,,,Gold Note B-5.2 official product page
Gold Note,B-7 Ceramic,242.0,19.0,24.0,,Other,10.0,,,23 mm inserting plinth shaft,,,Gold Note B-7 Ceramic official product page
Goldmund,T3F,,,,,Unknown,,,,,,,"Goldmund Reference Anniversary Statement Turntable fitted with T3F Tonearm Manual,Reference Turntable & Blu-ray / DVD player"
Goldmund,T5,200.0,,,,Unknown,,,,,,,Goldmund T-5 Owners manual
Grace,G-540F/640P/704/707/714/727/945,237.0,15.0,21.0,67/103,Other,,,,,67.0,103.0,"BIGLOBE Arm Data,Grace G-704 Uni-Pivot Oil-Damped Glide-Balanced Tonearm Manual,Grace G-707 Quad Master Stereo Tonearm Manual,Grace G-727 Gyro Master Stereo Tonearm Manual,LUXMAN PD310の仕様 ラックスマン"
Grace,G-565F/660P/860F/860FB/960,285.0,15.0,20.0,63/132,Other,,,,,63.0,132.0,"BIGLOBE Arm Data,Grace G-960 Japanese Made Uni-Pivot Oil-Damped Tonearm Manual,MICRO DD-100の仕様 マイクロ精機,MICRO DDL-150の仕様 マイクロ精機"
Graham,"Model 1.5t (US Patent 4686664: ""for purposes of explanation only, one arm has the following dimensions: effective length 235 mm, offset angle of 23.5 degree and overhang of 17.638 mm."" ) Baerwald ""1"" or Loefgren ""2"" overhang can be selectable.",235.0,17.6,23.4,66/121 (65/122),Other,,,,,66.0,121.0,"BIGLOBE Arm Data,Graham Manuals | Vinyl Engine"
Graham,Phantom Elite 10-inch,246.8,16.7,,,Unknown,,5.0,18.0,SME standard,,,Graham Phantom Elite brochure
Graham,Phantom Elite 12-inch,308.8,13.2,,,Unknown,,5.0,18.0,SME standard,,,Graham Phantom Elite brochure
Graham,Phantom Elite 9-inch,235.0,17.6,,,Unknown,,5.0,18.0,SME standard,,,Graham Phantom Elite brochure
Graham,Phantom III 10-inch,246.8,16.7,,,Unknown,,5.0,18.0,SME standard,,,Graham Phantom III official page
Graham,Phantom III 12-inch,308.8,13.2,,,Unknown,,5.0,18.0,SME standard,,,Graham Phantom III official page
Graham,Phantom III 9-inch,235.0,17.6,,,Unknown,,5.0,18.0,SME standard,,,Graham Phantom III official page
Graham,Phantom III SE 10-inch,246.8,16.7,,,Unknown,12.0,,,SME standard,,,Phantom III SE official page
Graham,Phantom III SE 12-inch,308.8,13.2,,,Unknown,14.0,,,SME standard,,,Phantom III SE official page
Graham,Phantom III SE 9-inch,235.0,17.6,,,Unknown,11.5,,,SME standard,,,Phantom III SE official page
Guya,STO-140 (Arm distance:237mm),251.0,14.0,20.0,63/109,Other,,,,,63.0,109.0,"BIGLOBE Arm Data,TOKYO SOUND ST-14/ST-14Sの仕様 東京サウンド,GUYA STO-140 Oil Damped Tonearm Arm Tonearm"
Hadcock,GH228,228.6,15.75,23.0,57/121,Other,,,,,57.0,121.0,"BIGLOBE Arm Data,Hadcock GH 228 British Made Uni-Pivot Tonearm Manual"
Hadcock,GH242 Special Edition,243.8,17.8,23.0,69/122,Other,,,,,69.0,122.0,"BIGLOBE Arm Data,Hadcock GH 228 British Made Uni-Pivot Tonearm Manual,Hadcock GH242 tonearm from Hifi Gear"
Helius,Aureus & Scorpio,228.6,18.0,24.0,66/120?,Baewald,,,,,66.0,120.0,"BIGLOBE Arm Data,Helius Omega Stereo Tonearm Manual"
Helius,Orion,252.0,16.0,21.5,65/119?,Other,,,,,65.0,119.0,"BIGLOBE Arm Data,Helius Orion Tonearm Manual"
Ikeda,IT-345 & IT-245,245.0,15.0,21.5,59/120,Other,,,,,59.0,120.0,"BIGLOBE Arm Data,Tonearms｜IKEDA Sound Labs. [Official]"
Ikeda,IT-407,307.0,12.0,16.66,65/111,Other,,,,,65.0,111.0,"BIGLOBE Arm Data,Tonearms｜IKEDA Sound Labs. [Official]"
Immedia,RPM-2,254.0,16.0,21.5,65/121,Baewald,,,,,65.0,121.0,"BIGLOBE Arm Data,Immedia RPM-2 High-End Uni-Pivot Tonearm Manual"
Infinity,Black Widow,237.0,15.0,21.0,67/103*,Other,,,,,67.0,103.0,"BIGLOBE Arm Data,Infinity Black Widow Low-Mass Pivoted Tonearm Manual"
J.Sikora,KV12 VTA,228.6,,,,Unknown,11.2,,,,,,J.Sikora tonearms official page
Jelco,SA 200,237.0,15.0,,,Unknown,,,,,,,"Vinyl Engine Jelco SA-200 library page,English Sound Jelco history article,The Vinyl Source Jelco SA-50 and SA-200 protractor page"
Jelco,SA 250,229.0,15.0,,,Unknown,,,,,,,English Sound Jelco SA-250 page
Jelco,SA 250BV,229.0,,,,Unknown,,,,,,,"Vinyl Engine Jelco SA-250BV library page,English Sound Jelco history article"
Jelco,SA 250ST,228.0,18.0,,,Unknown,,,,,,,English Sound Jelco SA-250ST page
Jelco,SA 50,237.0,15.0,,,Unknown,,,,,,,"Vinyl Engine Jelco SA-50 library page,English Sound Jelco history article,The Vinyl Source Jelco SA-50 and SA-200 protractor page"
Jelco,SA 50ST,228.0,,,,Unknown,,,,,,,"Vinyl Engine Jelco SA-50ST library page,English Sound Jelco history article,The Vinyl Source Jelco SA-50 ST IV protractor page"
Jelco,SA 750D,229.0,15.0,,,Unknown,,,,,,,English Sound Jelco SA-750D page
Jelco,SA 750DB,,,,,Unknown,,,,,,,English Sound Jelco SA-750D page
Jelco,SA 750E,255.0,15.0,,,Unknown,,,,,,,English Sound Jelco SA-750E page
Jelco,SA 750L,305.0,15.0,,,Unknown,,,,,,,English Sound Jelco SA-750L page
Jelco,SA-250 & SA-750D (S-shape wand),229.0,15.0,22.0,59/113,Other,,,,,59.0,113.0,"BIGLOBE Arm Data,ベルドリームサウンド トーンアーム,SA 750 manual"
Jelco,SA-250st (Straight wand),228.0,18.0,23.75,68/115,Other,,,,,68.0,115.0,"BIGLOBE Arm Data,ベルドリームサウンド トーンアーム"
Jelco,SA-750LB (S-shape wand),305.0,15.0,19.0,69/130,Other,,4.0,12.0,,69.0,130.0,"SA 750 manual,BIGLOBE Arm Data"
Jelco,TK 850L,303.0,13.0,17.7,,Other,,,,,,,"Respect Phono Jelco TK 850 L page,MrStylus Jelco lineup page"
Jelco,TK 850S,232.0,18.0,23.75,,Baewald,,,,,,,"Respect Phono Jelco TK 850 S page,MrStylus Jelco lineup page"
Jelco,TK 950L,303.0,13.0,17.7,,Other,,,,,,,"Respect Phono Jelco TK 950 L page,MrStylus Jelco lineup page"
Jelco,TK 950S,232.0,18.0,23.75,,Baewald,,,,,,,"Respect Phono Jelco TK 950 S page,MrStylus Jelco lineup page"
Keith Monks,M9BA Laboratory Arm MKIII,228.6,12.7,19.7,60/94*,Other,,,,,60.0,94.0,"BIGLOBE Arm Data,Keith Monks Laboratory Classic Uni-Pivot Tonearm Manual"
Korf,TA-SF11R,278.0,13.0,19.0,,Other,,,,JIS/Linn-type or SME-type clamping base,,,Korf TA-SF11R official product page
Korf,TA-SF9,229.0,15.0,22.0,,Other,19.0,,,JIS/Linn-type or SME-type clamping base,,,Korf TA-SF9 official product page
Korf,TA-SF9R,229.0,,22.0,,Other,,,,JIS/Linn-type or SME-type clamping base,,,Korf TA-SF9R official product page
Koshin,GST-1,237.0,15.0,,,Unknown,,,,,,,"Audiogon GST-1 discussion,Retrotech Audio Acos Lustre GST-1 archive page,Acos Lustre GST 1 Gimbal Bearing Tonearm Manual"
Koshin,GST-801,240.0,15.0,,,Stevenson,,,,,60.0,117.0,"Audiogon GST-801 tonearm discussion,AudioWorld Koshin Lustre GST-801 thread,Audiogon GST-801 P2S discussion,Acos Lustre GST 801 High Precision Dynamic-Balance Type Tonearm Manual,LUXMAN PD310の仕様 ラックスマン"
Kuzma,4Point 11-inch,280.0,16.0,19.5,66 / 121,Baewald,13.0,,,Kuzma / Air Line style base with 212 mm base distance and 40 mm cut-out,66.0,121.0,Kuzma 4Point official manual
Kuzma,4Point 14-inch,353.0,,15.35,,Unknown,19.0,,,Kuzma cut,,,Kuzma 4Point 14 brochure
Kuzma,4Point 9-inch,229.0,17.0,23.0,,Other,13.0,,,Kuzma,,,Kuzma 4Point 9 official page
Kuzma,Air Line 7-inch,184.0,,0.0,66 / 120.9,Baewald,,,,Kuzma cut-out 40 mm with 212 mm mounting distance,66.0,120.9,"Kuzma tonearms FAQ,Kuzma Air Line official page,Kuzma tonearms official page"
Kuzma,Safir 9,229.0,,23.0,,Other,60.0,,,,,,"Safir 9 - Kuzma,Kuzma Safir 9 brochure"
Kuzma,Stogi,230.0,18.0,24.0,65/122,Other,12.0,,15.0,,65.0,122.0,"Kuzma Stogi official page,BIGLOBE Arm Data"
Kuzma,Stogi Ref 313,313.0,13.0,17.4,,Baewald,14.0,,,Kuzma & Stogi,,,Kuzma Stogi Ref 313 official page
Kuzma,Stogi Ref 313 VTA,313.0,,17.37,66 / 120.9,Baewald,13.0,,,Kuzma cut-out 40 mm with 212 mm mounting distance,66.0,120.9,"Kuzma tonearms FAQ,Kuzma Stogi Ref 313 VTA official page"
Kuzma,Stogi Ref 9-inch,230.0,18.0,23.0,66 / 120.9,Baewald,13.0,,,Stogi cut-out 30 mm with 212 mm mounting distance,66.0,120.9,"Kuzma tonearms FAQ,Kuzma Stogi Ref official page"
Kuzma,Stogi S 12-inch,304.8,13.8,17.8,,Other,12.0,,,Kuzma & Stogi,,,Kuzma tonearms official page
Kuzma,Stogi S 12-inch VTA,304.8,13.8,17.8,,Other,12.0,,,Kuzma & Stogi,,,Kuzma tonearms official page
Kuzma,Stogi S 9-inch,230.0,18.0,23.0,66 / 120.9,Baewald,11.0,,,Stogi cut-out 30 mm with 212 mm mounting distance,66.0,120.9,"Kuzma tonearms FAQ,Kuzma Stogi S brochure,Kuzma tonearms official page"
Linn,Akito/Basik/Ittok/Ekos,229.0,18.0,24.0,66/121,Baewald,,,,,66.0,121.0,"BIGLOBE Arm Data,Template:Menu:Tonearms - LinnDocs,ITTOKTONEARM.PDF"
Linn,Ekos SE,229.0,18.0,,,Unknown,11.5,3.0,9.0,,,,"LinnDocs EKOS SE,Linn Ekos SE official product page"
Logic,datum S,228.0,17.3,23.5,65/117,Other,,,,,65.0,117.0,"BIGLOBE Arm Data,Manticore Musician Tonearm Manual"
Lustre,GST-1,237.0,15.0,21.6,60/114 (67/103),Other,,,,,60.0,114.0,"BIGLOBE Arm Data,Acos Lustre GST 1 Gimbal Bearing Tonearm Manual"
Lustre,GST-801,240.0,15.0,21.6,60/117 (65/107),Stevenson,,,,,60.0,117.0,"BIGLOBE Arm Data,Acos Lustre GST 801 High Precision Dynamic-Balance Type Tonearm Manual,LUXMAN PD310の仕様 ラックスマン"
