source_id,source_name,source_url,source_type,trust_level,retrieved_at,local_snapshot_path,notes
67,Schroeder Model 2 official manual,http://www.schroeder-tonarme.de/no2-english.html,official_manual,official,2026-06-16T20:54:24+00:00,,Official English instruction manual for the Schroeder Model 2
68,Schroeder DPS official manual,http://www.schroeder-tonarme.de/dps-deutsch.html,official_manual,official,2026-06-16T20:54:24+00:00,,Official German instruction manual for the Schroeder DPS
69,Schroeder Reference official info page,http://www.schroeder-tonarme.de/referenz-sq-info.html,official_page,official,2026-06-16T20:54:24+00:00,,Official Schroeder Reference SQ information page
70,Dr. Feickert Straight-10 review,https://www.fidelity-magazine.com/dr-feickert-analogue-straight-10/,review,secondary,2026-06-16T21:11:25+00:00,,Detailed published review with full geometry/spec block
71,DFA Straight-10 dealer listing,https://hifi12a.de/DFA-Dr-Feickert-Analogue-STRAIGHT-10-Tonearm,dealer_page,secondary,2026-06-16T21:11:25+00:00,,Dealer listing echoing core Straight-10 mount information
72,Music Hall MMF-9.3 official product page,https://www.musichallaudio.com/products/music-hall-mmf-9-3-turntable,official_page,official,2026-06-16T21:14:07+00:00,,Geometry values surfaced by official product-page snippet; fetched page confirms full carbon fiber tonearm with adjustable VTA.
73,Music Hall MMF-7.3 official product page,https://www.musichallaudio.com/products/music-hall-mmf-7-3-turntable,official_page,official,2026-06-16T21:14:07+00:00,,Geometry values surfaced by official product-page snippet; fetched page confirms full carbon fiber tonearm.
74,Music Hall MMF-5.3 official product page,https://www.musichallaudio.com/products/music-hall-mmf-5-3-turntable,official_page,official,2026-06-16T21:14:07+00:00,,Geometry values surfaced by official product-page snippet; fetched page confirms 9 inch carbon fiber tonearm.
75,Music Hall MMF-3.3 official product page,https://www.musichallaudio.com/products/music-hall-mmf-3-3-turntable,official_page,official,2026-06-16T21:14:07+00:00,,Geometry values surfaced by official product-page snippet; fetched page confirms custom carbon fiber tonearm with alloy headshell.
76,Music Hall MMF-2.3 official product page,https://www.musichallaudio.com/products/music-hall-mmf-2-3-series-turntable,official_page,official,2026-06-16T21:14:07+00:00,,Geometry values surfaced by official product-page snippet; fetched page confirms carbon fiber tonearm.
77,Music Hall MMF-1.3 official product page,https://www.musichallaudio.com/products/music-hall-mmf-1-3-turntable,official_page,official,2026-06-16T21:14:07+00:00,,Geometry values surfaced by official product-page snippet; fetched page confirms aluminum tonearm with removable headshell.
78,Ortofon TA-110 official product page,https://ortofon.com/pages/ta-110-9,official_page,official,2026-06-16T21:49:48+00:00,,Official historical Ortofon TA-110 product page
79,Sorane SA-1.2 official manual,https://youtek.jp/pdf/manual/manual_sorane_sa12_201911.pdf,official_manual,official,2026-06-16T21:49:48+00:00,,Official Sorane SA-1.2 instruction manual distributed by Youtek
80,VPI JMW unipivot tonearm page,https://www.vpiindustries.com/unipivot,official_page,official,2026-06-16T21:59:07+00:00,,Official VPI tonearm product page. Current site labels this length class as JMW 10 Tonearm.
81,VPI JMW 10.5 setup manual,https://www.vpiindustries.com/_files/ugd/5e0564_04492ebfa26747d9bef8842aebc33384.pdf,official_manual,official,2026-06-16T21:59:07+00:00,/Users/mamsterla/Downloads/before-you-begin.md,Official VPI setup manual titled Setup Manual for JMW Tonearm 10.5 and 12.5 version.
82,VPI Classic 1 product page,https://www.vpiindustries.com/classic1,official_page,official,2026-06-16T21:59:07+00:00,,Official VPI Classic 1 product page with exact JMW-10.5i references.
83,Michell T2 tonearm official page,https://www.michellaudio.com/michell-t2-tonearm,official_page,official,2026-06-16T22:56:11+00:00,,Official Michell Audio T2 tonearm product page.
84,Michell T8 tonearm official page,https://www.michellaudio.com/michell-t8-tonearm,official_page,official,2026-06-16T22:56:11+00:00,,Official Michell Audio T8 tonearm product page.
85,Michell TecnoArm 2 official page,https://www.michellaudio.com/michell-tecnoarm-2-tonearm,official_page,official,2026-06-16T22:56:11+00:00,,Official Michell Audio TecnoArm 2 product page.
86,Glanz S Type official page,https://glanz.tech/e/collection/mh1200s1000s900s/,official_page,official,2026-06-16T22:56:11+00:00,,Official Glanz S Type collection page.
87,Glanz Premium official page,https://glanz.tech/e/collection/mh124sp/,official_page,official,2026-06-16T22:56:11+00:00,,Official Glanz premium collection page.
88,Glanz legacy S official page,https://glanz.tech/e/collection/mh94s104s124s/,official_page,official,2026-06-16T22:56:11+00:00,,Official Glanz end-of-sale S collection page.
89,Glanz B Type official page,https://glanz.tech/e/collection/mh-9b-10b/,official_page,official,2026-06-16T22:56:11+00:00,,Official Glanz B Type collection page.
90,Glanz Bt Type official page,https://glanz.tech/e/collection/mh-9bt-10bt/,official_page,official,2026-06-16T22:56:11+00:00,,Official Glanz Bt Type collection page.
91,J.Sikora tonearms official page,https://jsikora.eu/tonearms/,official_page,official,2026-06-16T23:05:58+00:00,,Official J.Sikora tonearms page with KV12 technical summary embedded in page content.
92,Vertere official tonearm page,https://www.vertereacoustics.com/super-groove-precision-tonearm,official_page,official,2026-06-16T23:05:58+00:00,,Official Vertere SG-1-related tonearm product page.
93,Vertere official tonearm page,https://www.vertereacoustics.com/super-groove-ii-pathfinder-tonearm,official_page,official,2026-06-16T23:05:58+00:00,,Official Vertere SG-II Pathfinder tonearm product page.
94,Vertere official tonearm page,https://www.vertereacoustics.com/reference-tonearm,official_page,official,2026-06-16T23:05:58+00:00,,Official Vertere Reference Tonearm Gen III product page.
95,Pear Audio tonearms official page,https://pearaudio-analogue.com/tonearms/,official_page,official,2026-06-16T23:05:58+00:00,,Official Pear Audio tonearms page describing Cornet tonearm family.
96,Dynavector DV 507 MkII official page,https://www.dynavector.com/audio/507mk2.php,official_page,official,2026-06-16T23:08:47+00:00,,Official Dynavector DV 507 MkII page explicitly references original DV 507 plus DV 505 and DV 501 lineage. Geometry on this page is specific to DV 507 MkII; descriptive family notes support the grouped legacy DV-501/505/507 row.
97,hifi-wiki Audio-Technica AT exact-model pages,https://hifi-wiki.com/index.php/Audio_Technica_AT_1005_II,secondary_reference,secondary,2026-06-16T23:17:37+00:00,,Secondary reference pages with scanned spec images for exact historic Audio-Technica models.
98,hifi-wiki Audio-Technica AT exact-model pages,https://hifi-wiki.com/index.php/Audio_Technica_AT_1007,secondary_reference,secondary,2026-06-16T23:17:37+00:00,,Secondary reference pages with scanned spec images for exact historic Audio-Technica models.
99,hifi-wiki Audio-Technica AT exact-model pages,https://hifi-wiki.com/index.php/Audio_Technica_AT_1009,secondary_reference,secondary,2026-06-16T23:17:37+00:00,,Secondary reference pages with scanned spec images for exact historic Audio-Technica models.
100,hifi-wiki Audio-Technica AT exact-model pages,https://hifi-wiki.com/index.php/Audio_Technica_AT_1100,secondary_reference,secondary,2026-06-16T23:17:37+00:00,,Secondary reference pages with scanned spec images for exact historic Audio-Technica models.
101,TNT-Audio FR-64S review citing manual geometry,https://www.tnt-audio.com/sorgenti/fidelity_research_fr64s_e.html,review,secondary,2026-06-16T23:17:37+00:00,,Secondary review source quoting FR-64S manual geometry and construction details.
102,Fidelity Research FR-60 series operating instructions (manual mirror),https://www.hifisentralen.no/forumet/attachments/ve_fidelityfr60manual-pdf.768668/,manual_mirror,secondary,2026-06-16T23:25:05+00:00,tmp_fidelity_manual.pdf,Manual mirror PDF for Fidelity Research FR-60 series. Local OCR performed from downloaded PDF pages for usable geometry and setup details.
103,TNT-Audio FR-64S review,https://www.tnt-audio.com/sorgenti/fidelity_research_fr64s_e.html,review,secondary,2026-06-16T23:28:15+00:00,,Secondary review source quoting FR-64S manual geometry and describing construction details.
104,Fidelity Research FR-60 series operating instructions (manual mirror),https://www.hifisentralen.no/forumet/attachments/ve_fidelityfr60manual-pdf.768668/,manual_mirror,secondary,2026-06-16T23:28:15+00:00,tmp_fidelity_manual.pdf,Manual mirror PDF for Fidelity Research FR-60 series. Local OCR performed from downloaded PDF pages for usable geometry and setup details.
105,hifi-wiki Audio-Technica exact model page,https://hifi-wiki.com/index.php/Audio_Technica_AT_1005_II,secondary_reference,secondary,2026-06-16T23:31:00+00:00,,Secondary reference page with scanned specification image for exact Audio-Technica tonearm model.
106,hifi-wiki Audio-Technica exact model page,https://hifi-wiki.com/index.php/Audio_Technica_AT_1007,secondary_reference,secondary,2026-06-16T23:31:00+00:00,,Secondary reference page with scanned specification image for exact Audio-Technica tonearm model.
107,hifi-wiki Audio-Technica exact model page,https://hifi-wiki.com/index.php/Audio_Technica_AT_1009,secondary_reference,secondary,2026-06-16T23:31:00+00:00,,Secondary reference page with scanned specification image for exact Audio-Technica tonearm model.
108,hifi-wiki Audio-Technica exact model page,https://hifi-wiki.com/index.php/Audio_Technica_AT_1100,secondary_reference,secondary,2026-06-16T23:31:00+00:00,,Secondary reference page with scanned specification image for exact Audio-Technica tonearm model.
109,hifi-wiki AT series advertisement scan,https://hifi-wiki.com/images/4/42/AT.jpg,secondary_reference,secondary,2026-06-16T23:33:46+00:00,tmp_at_imgs/AT_ad.jpg,Secondary reference page or scanned advertisement for historic Audio-Technica tonearm model.
110,hifi-wiki Audio Technica Sound Arms,https://hifi-wiki.com/index.php/Audio_Technica_Sound_Arms,secondary_reference,secondary,2026-06-16T23:33:46+00:00,,Secondary reference page or scanned advertisement for historic Audio-Technica tonearm model.
111,hifi-wiki Fidelity Research Tone Arms,https://hifi-wiki.com/index.php/Fidelity_Research_Tone_Arms,secondary_reference,secondary,2026-06-16T23:39:40+00:00,,Secondary reference page listing exact Fidelity Research tonearm models.
112,hifi-wiki Fidelity Research Tone Arms,https://hifi-wiki.com/index.php/Fidelity_Research_Tone_Arms,secondary_reference,secondary,2026-06-16T23:41:30+00:00,,Manual mirror PDF for Fidelity Research FR-60 series or secondary archive model list.
113,Fidelity Research FR-60 series operating instructions (manual mirror),https://www.hifisentralen.no/forumet/attachments/ve_fidelityfr60manual-pdf.768668/,manual_mirror,secondary,2026-06-16T23:41:30+00:00,tmp_fidelity_manual.pdf,Manual mirror PDF for Fidelity Research FR-60 series or secondary archive model list.
114,Durand Talea II official page,https://www.durand-tonearms.com/the-talea-ii,official_page,official,2026-06-16T23:54:40+00:00,,Official Durand Tonearms product page.
115,Durand Tosca official page,https://www.durand-tonearms.com/the-tosca,official_page,official,2026-06-16T23:54:40+00:00,,Official Durand Tonearms product page.
116,The Ear Groovemaster 4 review,https://www.the-ear.net/review-hardware/groovemaster-4-top-banana/,review,secondary,2026-06-16T23:55:13+00:00,,The Ear review and Audio Creative shop pages for Groovemaster tonearms.
117,Audio Creative Shop GrooveMaster 3 page,https://audio-creativeshop.nl/product/groovemaster-ii-tonearm/,official_page,official,2026-06-16T23:55:13+00:00,,The Ear review and Audio Creative shop pages for Groovemaster tonearms.
118,Audio Note Arm One/II official page,https://www.audionote.co.uk/arm-one,official_page,official,2026-06-16T23:58:47+00:00,,Official Audio Note (UK) product page.
119,Audio Note Arm Three/II official page,https://www.audionote.co.uk/arm-three,official_page,official,2026-06-16T23:58:47+00:00,,Official Audio Note (UK) product page.
120,Kronos AV Acoustic Solid 313 12-inch tonearm page,https://www.kronosav.com/products/acoustic-solid-313-12-tonearm,dealer_page,secondary,2026-06-17T00:00:32+00:00,,Dealer page supplied by user. Rich geometry/spec listing for Acoustic Solid WTB 313 12-inch tonearm.
121,Kronos AV Acoustic Solid WTB213 Carbon Tonearm page,https://www.kronosav.com/collections/acoustic-solid/products/acoustic-solid-wtb213-carbon-tonearm,dealer_page,secondary,2026-06-17T00:03:37+00:00,,User-accessible dealer product page with explicit WTB213 naming and full spec block.
122,Electronic Depot Acoustic Solid Metal 111 / WTB 370 page,https://www.theelectronicdepot.ca/turntables/acoustic-solid-metal-111-turntable-cartridge.html,dealer_page,secondary,2026-06-17T00:03:37+00:00,,Dealer package page explicitly names WTB-370 and gives descriptive tonearm text.
123,Vinyl Sound Acoustic Solid Solid 111 Metal page,https://vinylsound.ca/products/acoustic-solid-solid-111-metal-turntable,dealer_page,secondary,2026-06-17T00:03:37+00:00,,Dealer turntable package page naming WTB-370 as included tonearm.
124,Vinyl Sound Acoustic Solid Solid 311 Metal page,https://vinylsound.ca/products/acoustic-solid-solid-311-metal-turntable,dealer_page,secondary,2026-06-17T00:03:37+00:00,,Dealer turntable package page naming WTB-370 as included tonearm.
125,Micro Seiki MA-505 operating manual mirror,https://s.siteapi.org/500b43cd79ebb4d.ru/docs/crwe035jmxsgo0kwc04ksscwswsgww,manual_mirror,secondary,2026-06-17T00:11:05+00:00,,Scanned Micro Seiki operating manual mirror with specification page.
126,Micro Seiki MA-707 operating manual mirror,https://s.siteapi.org/500b43cd79ebb4d.ru/docs/l1jmp82rc5cwkgck08g0co4w88ok8g,manual_mirror,secondary,2026-06-17T00:11:05+00:00,,Scanned Micro Seiki operating manual mirror with specification page.
127,Audiogon GST-801 P2S discussion,https://forum.audiogon.com/discussions/acos-lustre-gst-801-p2s-distance,secondary_reference,secondary,2026-06-17T00:27:42+00:00,,Audiogon and AudioWorld discussions used where owners and setup posts preserve geometry and operating details for this vintage arm.
128,Audiogon GST-801 tonearm discussion,https://forum.audiogon.com/discussions/tonearm-acos-lustre-gst-801-yea-nay,secondary_reference,secondary,2026-06-17T00:27:42+00:00,,Audiogon and AudioWorld discussions used where owners and setup posts preserve geometry and operating details for this vintage arm.
129,AudioWorld Koshin Lustre GST-801 thread,http://www.apogeeacoustics.com/oldforum/007301.html,secondary_reference,secondary,2026-06-17T00:27:42+00:00,,Audiogon and AudioWorld discussions used where owners and setup posts preserve geometry and operating details for this vintage arm.
130,Retrotech Audio Acos Lustre GST-1 archive page,https://retrotechaudio.co.uk/acos-lustre-gst1.html,dealer_page,secondary,2026-06-17T00:27:42+00:00,,Retrotech sales archive and Audiogon discussion preserve basic GST-1 setup details.
131,Audiogon GST-1 discussion,https://forum.audiogon.com/discussions/acos-lustre-gst-1-yay-or-nay-has-removable-headshell-and,secondary_reference,secondary,2026-06-17T00:27:42+00:00,,Retrotech sales archive and Audiogon discussion preserve basic GST-1 setup details.
132,Audiogon SAEC 308N vs 308SX discussion,https://forum.audiogon.com/discussions/saec-308n-vs-308sx,secondary_reference,secondary,2026-06-17T00:27:42+00:00,,Audiogon discussion preserves setup geometry and model distinctions for this vintage arm.
133,OTOMON SAEC WE-407/23 page,https://otomon.net/audio-highend/products/detail/251,dealer_page,secondary,2026-06-17T00:36:59+00:00,,Archival product page and BIGLOBE geometry table used for classic SAEC tonearm data.
134,BIGLOBE arm data table,https://www7a.biglobe.ne.jp/~yosh/armdata.htm,secondary_table,secondary,2026-06-17T00:36:59+00:00,,Archival product page and BIGLOBE geometry table used for classic SAEC tonearm data.
135,LinnDocs EKOS SE,https://docs.linn.co.uk/wiki/index.php/EKOS_SE,official_page,official,2026-06-17T00:51:16+00:00,,Official Linn product and documentation pages.
136,Linn Ekos SE official product page,https://www.linn.co.uk/turntables/components/ekos-se,official_page,official,2026-06-17T00:51:16+00:00,,Official Linn product and documentation pages.
137,SME Series M2 instructions,https://sme.co.uk/wp-content/uploads/SME-series-m2-instructions.pdf,official_pdf,official,2026-06-17T00:51:16+00:00,,Official SME documentation PDF.
138,SME Model 8 manual / 309 tonearm specs,https://sme.co.uk/wp-content/uploads/SME-MODEL-8-MANUAL-APRIL-2025-web.pdf,official_pdf,official,2026-06-17T00:51:16+00:00,,Official SME documentation PDF.
139,SME Series V official sheet,https://sme.co.uk/wp-content/uploads/SERIES-V-apr-18.pdf,official_pdf,official,2026-06-17T00:51:16+00:00,,Official SME documentation PDF.
140,SME Series 300 instructions,https://sme.co.uk/wp-content/uploads/SME-series-300-instructions.pdf,official_pdf,official,2026-06-17T02:00:12+00:00,,Official SME Series 300 tonearm manual.
141,"SME Models 3012-R, 3010-R and 3009-R instruction book",https://sme.co.uk/wp-content/uploads/MODELS_301_2-R_301_O-R_AND_3009-R_PRECISION_PICK-UP_ARMS_INSTRUCTION_BOOK.pdf,official_pdf,official,2026-06-17T02:00:12+00:00,,Official SME R-series instruction book. Null points quoted from alignment protractor instructions.
142,Clearaudio Unify official product page,https://www.clearaudio.de/produkt-tonarm-unify/,official_page,official,2026-06-17T02:00:12+00:00,,Official Clearaudio Unify product page.
143,Kuzma Stogi official page,https://www.kuzma.si/stogi.html,official_page,official,2026-06-17T02:00:12+00:00,,Official Kuzma Stogi product page and technical data table.
144,Brinkmann 10.5 official product page,https://www.brinkmann-audio.de/main.php?prod=tonarm105&lang=en,official_page,official,2026-06-17T02:00:12+00:00,,Official Brinkmann 10.5 tonearm product page.
