tonearm_spec_id,manufacturer,model_name,field_name,value_num,value_text,unit,raw_value_text,status,confidence,notes,source_name,source_url
2327,Acoustic Signature,TA-7000 NEO 12-inch,effective_mass_g,13.9,,g,Effective mass: 13.9 g,parsed,0.9,,Acoustic Signature TA-7000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-7000-neo/
2323,Acoustic Signature,TA-7000 NEO 12-inch,length_mm,358.0,,mm,Length: 358 mm,parsed,0.9,,Acoustic Signature TA-7000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-7000-neo/
2325,Acoustic Signature,TA-7000 NEO 12-inch,mounting_distance_mm,295.8,,mm,Mounting distance: 295.8 mm,parsed,0.9,,Acoustic Signature TA-7000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-7000-neo/
2332,Acoustic Signature,TA-7000 NEO 12-inch,mounting_type,,SME style,,Mounting: SME style,parsed,0.9,,Acoustic Signature TA-7000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-7000-neo/
2372,Acoustic Signature,TA-7000 NEO 12-inch,null_alignment_type,,Unknown,,Unknown,derived,0.4,Defaulted because the current source set does not explicitly specify a null alignment family.,Acoustic Signature TA-7000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-7000-neo/
2328,Acoustic Signature,TA-7000 NEO 12-inch,offset_angle_deg,12.1,,deg,Tilt angle: 12.1°,parsed,0.9,Official page labels this value as tilt angle (depends on cartridge); used as published geometric angle field.,Acoustic Signature TA-7000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-7000-neo/
2334,Acoustic Signature,TA-7000 NEO 12-inch,output_cable,,1.5 m Atlas Equator phono cable; 5-pin to RCA or XLR/ground,,Phono cable: 1.5 m Atlas Equator phono cable; Connectors: 5-pin to RCA or XLR/ground connector,parsed,0.9,,Acoustic Signature TA-7000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-7000-neo/
2329,Acoustic Signature,TA-7000 NEO 12-inch,overhang_mm,13.2,,mm,Overhang: 13.2 mm,parsed,0.9,,Acoustic Signature TA-7000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-7000-neo/
2326,Acoustic Signature,TA-7000 NEO 12-inch,total_weight_g,687.0,,g,Total weight: 687 g,parsed,0.9,,Acoustic Signature TA-7000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-7000-neo/
2308,Acoustic Signature,TA-7000 NEO 9-inch,arm_size,,9-inch,,Available sizes: 9-inch,parsed,0.9,,Acoustic Signature TA-7000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-7000-neo/
2319,Acoustic Signature,TA-7000 NEO 9-inch,arm_tube_material,,3D-damped carbon armtube,,Armtube: 3D-damped carbon armtube,parsed,0.9,,Acoustic Signature TA-7000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-7000-neo/
2321,Acoustic Signature,TA-7000 NEO 9-inch,bearing_type,,pre-tensioned high-precision ball bearings,,pre-tensioned high-precision ball bearings,parsed,0.9,,Acoustic Signature TA-7000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-7000-neo/
2317,Acoustic Signature,TA-7000 NEO 9-inch,cartridge_range_high_g,16.0,,g,Cartridge balance range: 6 to 16 g,parsed,0.9,,Acoustic Signature TA-7000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-7000-neo/
2316,Acoustic Signature,TA-7000 NEO 9-inch,cartridge_range_low_g,6.0,,g,Cartridge balance range: 6 to 16 g,parsed,0.9,,Acoustic Signature TA-7000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-7000-neo/
2310,Acoustic Signature,TA-7000 NEO 9-inch,effective_length_mm,239.3,,mm,Effective length: 239.3 mm,parsed,0.9,,Acoustic Signature TA-7000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-7000-neo/
2313,Acoustic Signature,TA-7000 NEO 9-inch,effective_mass_g,10.2,,g,Effective mass: 10.2 g,parsed,0.9,,Acoustic Signature TA-7000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-7000-neo/
2309,Acoustic Signature,TA-7000 NEO 9-inch,length_mm,289.0,,mm,Length: 289 mm,parsed,0.9,,Acoustic Signature TA-7000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-7000-neo/
2311,Acoustic Signature,TA-7000 NEO 9-inch,mounting_distance_mm,222.0,,mm,Mounting distance: 222 mm,parsed,0.9,,Acoustic Signature TA-7000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-7000-neo/
2318,Acoustic Signature,TA-7000 NEO 9-inch,mounting_type,,SME style,,Mounting: SME style,parsed,0.9,,Acoustic Signature TA-7000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-7000-neo/
2371,Acoustic Signature,TA-7000 NEO 9-inch,null_alignment_type,,Other,,59.282 / 134.618 mm,derived,0.65,"Backfilled from derived null points using effective length, mounting distance/overhang, and offset angle; nearest-reference distance 15.275 mm.",Acoustic Signature TA-7000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-7000-neo/
2314,Acoustic Signature,TA-7000 NEO 9-inch,offset_angle_deg,23.9,,deg,Tilt angle: 23.9°,parsed,0.9,Official page labels this value as tilt angle (depends on cartridge); used as published geometric angle field.,Acoustic Signature TA-7000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-7000-neo/
2320,Acoustic Signature,TA-7000 NEO 9-inch,output_cable,,1.5 m Atlas Equator phono cable; 5-pin to RCA or XLR/ground,,Phono cable: 1.5 m Atlas Equator phono cable; Connectors: 5-pin to RCA or XLR/ground connector,parsed,0.9,,Acoustic Signature TA-7000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-7000-neo/
2315,Acoustic Signature,TA-7000 NEO 9-inch,overhang_mm,17.3,,mm,Overhang: 17.3 mm,parsed,0.9,,Acoustic Signature TA-7000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-7000-neo/
2312,Acoustic Signature,TA-7000 NEO 9-inch,total_weight_g,678.0,,g,Total weight: 678 g,parsed,0.9,,Acoustic Signature TA-7000 NEO official page,https://www.acoustic-signature.com/products/tonearms/ta-7000-neo/
2007,Acoustic Solid,WTB 213,arm_tube_material,,"carbon tube, silver or black; can also be painted in color",,"carbon tube silver or black, also painted in color",parsed,0.84,,Kronos AV Acoustic Solid WTB213 Carbon Tonearm page,https://www.kronosav.com/collections/acoustic-solid/products/acoustic-solid-wtb213-carbon-tonearm
2004,Acoustic Solid,WTB 213,arm_type,,radial tonearm,,Construction principle: Radial tonearm,parsed,0.84,,Kronos AV Acoustic Solid WTB213 Carbon Tonearm page,https://www.kronosav.com/collections/acoustic-solid/products/acoustic-solid-wtb213-carbon-tonearm
2016,Acoustic Solid,WTB 213,arm_weight_g,325.0,,g,Weight arm: 325 g (without weight),parsed,0.84,,Kronos AV Acoustic Solid WTB213 Carbon Tonearm page,https://www.kronosav.com/collections/acoustic-solid/products/acoustic-solid-wtb213-carbon-tonearm
2006,Acoustic Solid,WTB 213,bearing_play_adjustment,,fine-adjustable horizontally and vertically,,Bearing play can be finely adjusted both horizontally and vertically,parsed,0.84,,Kronos AV Acoustic Solid WTB213 Carbon Tonearm page,https://www.kronosav.com/collections/acoustic-solid/products/acoustic-solid-wtb213-carbon-tonearm
2005,Acoustic Solid,WTB 213,bearing_system,,Swiss precision steel balls; horizontally and vertically mounted,,mounted horizontally and vertically with Swiss precision steel balls,parsed,0.84,,Kronos AV Acoustic Solid WTB213 Carbon Tonearm page,https://www.kronosav.com/collections/acoustic-solid/products/acoustic-solid-wtb213-carbon-tonearm
2010,Acoustic Solid,WTB 213,cartridge_weight_range_g,,5-20 g,,Pickup weight: 5 – 20g,parsed,0.84,,Kronos AV Acoustic Solid WTB213 Carbon Tonearm page,https://www.kronosav.com/collections/acoustic-solid/products/acoustic-solid-wtb213-carbon-tonearm
2017,Acoustic Solid,WTB 213,counterweight_g,115.0,,g,Balance weight: 115g,parsed,0.84,,Kronos AV Acoustic Solid WTB213 Carbon Tonearm page,https://www.kronosav.com/collections/acoustic-solid/products/acoustic-solid-wtb213-carbon-tonearm
2012,Acoustic Solid,WTB 213,effective_length_mm,233.75,,mm,Effective length: 233.75 mm distance between tonearm pivot point and cartridge tip,parsed,0.84,,Kronos AV Acoustic Solid WTB213 Carbon Tonearm page,https://www.kronosav.com/collections/acoustic-solid/products/acoustic-solid-wtb213-carbon-tonearm
2008,Acoustic Solid,WTB 213,headshell_material,,"aircraft aluminum, hand-polished high gloss",,Headshell and attachments aircraft aluminum polished to a high gloss by hand,parsed,0.84,,Kronos AV Acoustic Solid WTB213 Carbon Tonearm page,https://www.kronosav.com/collections/acoustic-solid/products/acoustic-solid-wtb213-carbon-tonearm
2015,Acoustic Solid,WTB 213,mount_hole_mm,30.0,,mm,Tonearm mounting hole: 30mm,parsed,0.84,,Kronos AV Acoustic Solid WTB213 Carbon Tonearm page,https://www.kronosav.com/collections/acoustic-solid/products/acoustic-solid-wtb213-carbon-tonearm
2011,Acoustic Solid,WTB 213,mounting_distance_mm,216.0,,mm,Fixing distance: 216 mm distance between platter axis and tonearm pivot point,parsed,0.84,,Kronos AV Acoustic Solid WTB213 Carbon Tonearm page,https://www.kronosav.com/collections/acoustic-solid/products/acoustic-solid-wtb213-carbon-tonearm
2026,Acoustic Solid,WTB 213,null_alignment_type,,Baewald,,66.663 / 119.752 mm,derived,0.75,"Backfilled from derived null points using effective length, mounting distance/overhang, and offset angle; nearest-reference distance 1.326 mm.",Kronos AV Acoustic Solid WTB213 Carbon Tonearm page,https://www.kronosav.com/collections/acoustic-solid/products/acoustic-solid-wtb213-carbon-tonearm
2009,Acoustic Solid,WTB 213,offset_angle_deg,23.5,,deg,Offset angle: 23.5°,parsed,0.84,,Kronos AV Acoustic Solid WTB213 Carbon Tonearm page,https://www.kronosav.com/collections/acoustic-solid/products/acoustic-solid-wtb213-carbon-tonearm
2013,Acoustic Solid,WTB 213,overhang_mm,17.75,,mm,overhang: 17.75 mm distance between pickup tip and platter axis,parsed,0.84,,Kronos AV Acoustic Solid WTB213 Carbon Tonearm page,https://www.kronosav.com/collections/acoustic-solid/products/acoustic-solid-wtb213-carbon-tonearm
2533,Acoustic Solid,WTB 213,product_family,,Official Acoustic Solid product page for WTB 213 9-inch tonearm.,,WTB 213 9,parsed,0.6,Official manufacturer URL surfaced directly for the named WTB 213 model even though page body extraction remained limited.,Acoustic Solid WTB 213 9 official product page,https://acoustic-solid.com/produkt/wtb-213-9/
2014,Acoustic Solid,WTB 213,signal_cable,,continuous RCA cable; XLR possible on request,,"Signal cable: Continuously assembled with RCA plugs without interruption, XLR possible on request",parsed,0.84,,Kronos AV Acoustic Solid WTB213 Carbon Tonearm page,https://www.kronosav.com/collections/acoustic-solid/products/acoustic-solid-wtb213-carbon-tonearm
2018,Acoustic Solid,WTB 213,total_weight_g,440.0,,g,Complete weight: 440g,parsed,0.84,,Kronos AV Acoustic Solid WTB213 Carbon Tonearm page,https://www.kronosav.com/collections/acoustic-solid/products/acoustic-solid-wtb213-carbon-tonearm
2002,Acoustic Solid,WTB 313 12-inch,arm_tube_material,,"aircraft-grade aluminum, hand-polished high-gloss",,"Hand-polished high-gloss aircraft-grade aluminum tube, as well as headshell and all attachments",parsed,0.84,,Kronos AV Acoustic Solid 313 12-inch tonearm page,https://www.kronosav.com/products/acoustic-solid-313-12-tonearm
1989,Acoustic Solid,WTB 313 12-inch,arm_type,,radial tonearm,,Construction principle: Radial tonearm,parsed,0.84,,Kronos AV Acoustic Solid 313 12-inch tonearm page,https://www.kronosav.com/products/acoustic-solid-313-12-tonearm
1999,Acoustic Solid,WTB 313 12-inch,arm_weight_g,330.0,,g,Arm weight: 330 g (without weight),parsed,0.84,,Kronos AV Acoustic Solid 313 12-inch tonearm page,https://www.kronosav.com/products/acoustic-solid-313-12-tonearm
1991,Acoustic Solid,WTB 313 12-inch,bearing_play_adjustment,,fine-adjustable horizontally and vertically,,Bearing play: Fine-adjustable both horizontally and vertically,parsed,0.84,,Kronos AV Acoustic Solid 313 12-inch tonearm page,https://www.kronosav.com/products/acoustic-solid-313-12-tonearm
1990,Acoustic Solid,WTB 313 12-inch,bearing_system,,Swiss precision steel ball bearings; horizontally and vertically mounted,,horizontally and vertically mounted on Swiss precision steel ball bearings,parsed,0.84,,Kronos AV Acoustic Solid 313 12-inch tonearm page,https://www.kronosav.com/products/acoustic-solid-313-12-tonearm
