tonearm_model_id,manufacturer,model_name,normalized_model_name,display_name,notes,created_at
6,Audio-Technica,"AT-1503III, IV, IIIa",at-1503iii-iv-iiia,"Audio-Technica AT-1503III, IV, IIIa",,2026-06-16T15:53:09+00:00
67,AudioQuest,PT-6/7/8/9,pt-6-7-8-9,AudioQuest PT-6/7/8/9,,2026-06-16T15:53:09+00:00
194,Audiomods,Series Six 10.5-inch,series-six-10-5-inch,Audiomods Series Six 10.5-inch,610 version 10.5 inch arm.,2026-06-16T16:50:17+00:00
193,Audiomods,Series Six 9-inch Linn,series-six-9-inch-linn,Audiomods Series Six 9-inch Linn,609 version 9 inch arm with Linn fitting.,2026-06-16T16:50:17+00:00
192,Audiomods,Series Six 9-inch Rega,series-six-9-inch-rega,Audiomods Series Six 9-inch Rega,609 version 9 inch arm with Rega fitting.,2026-06-16T16:50:17+00:00
349,Avid,Nexus,nexus,Avid Nexus,Workbook Nexus follow-up from official AVID tonearm page.,2026-06-18T07:59:15+00:00
9,Azden,PU-402 (SYNTEC S-220),pu-402-syntec-s-220,Azden PU-402 (SYNTEC S-220),,2026-06-16T15:53:09+00:00
10,Azden,PU-547 & PU-550,pu-547-pu-550,Azden PU-547 & PU-550,,2026-06-16T15:53:09+00:00
11,Azden,PU-549,pu-549,Azden PU-549,,2026-06-16T15:53:09+00:00
195,Basis Audio,Vector 4,vector-4,Basis Audio Vector 4,Current Vector family tonearm.,2026-06-16T16:50:17+00:00
68,Belcanto,"Unipivot 10""",unipivot-10,"Belcanto Unipivot 10""",,2026-06-16T15:53:09+00:00
69,Belcanto,"Unipivot 12""",unipivot-12,"Belcanto Unipivot 12""",,2026-06-16T15:53:09+00:00
70,Breuer,Type 5A,type-5a,Breuer Type 5A,,2026-06-16T15:53:09+00:00
71,Breuer,Type 6A,type-6a,Breuer Type 6A,,2026-06-16T15:53:09+00:00
72,Breuer,Type 7 & 8,type-7-8,Breuer Type 7 & 8,contains uncertainty markers,2026-06-16T15:53:09+00:00
73,Brinkmann,10.5,10-5,Brinkmann 10.5,,2026-06-16T15:53:09+00:00
317,Clearaudio,Clarify,clarify,Clearaudio Clarify,Workbook exact-model follow-up using official family support plus exact dealer-model page.,2026-06-18T07:02:59+00:00
320,Clearaudio,Concept,concept,Clearaudio Concept,Workbook exact-model follow-up for Clearaudio Concept tonearm.,2026-06-18T07:13:18+00:00
321,Clearaudio,Magnify,magnify,Clearaudio Magnify,Workbook exact-model follow-up for Clearaudio Magnify using exact dealer specs plus official family support.,2026-06-18T07:13:18+00:00
322,Clearaudio,Satisfy Kardan,satisfy-kardan,Clearaudio Satisfy Kardan,Workbook exact-model follow-up for Clearaudio Satisfy Kardan using exact dealer specs plus official distributor family support.,2026-06-18T07:13:18+00:00
318,Clearaudio,Tracer,tracer,Clearaudio Tracer,Workbook exact-model follow-up using official family support plus exact dealer-model page.,2026-06-18T07:02:59+00:00
277,Clearaudio,Tracer Black Carbon Fiber,tracer-black-carbon-fiber,Clearaudio Tracer Black Carbon Fiber,Official Clearaudio Tracer target hydration from manufacturer product page.,2026-06-17T02:00:12+00:00
323,Clearaudio,"Unify 10""",unify-10,"Clearaudio Unify 10""",Workbook exact-model follow-up for Clearaudio Unify using exact dealer specs plus official family support.,2026-06-18T07:13:18+00:00
324,Clearaudio,"Unify 12""",unify-12,"Clearaudio Unify 12""",Workbook exact-model follow-up for Clearaudio Unify using exact dealer specs plus official family support.,2026-06-18T07:13:18+00:00
325,Clearaudio,"Unify 14""",unify-14,"Clearaudio Unify 14""",Workbook exact-model follow-up for Clearaudio Unify using exact dealer specs plus official family support.,2026-06-18T07:13:18+00:00
74,Clearaudio,"Unify 9""",unify-9,"Clearaudio Unify 9""",,2026-06-16T15:53:09+00:00
327,Clearaudio,"Universal 12""",universal-12,"Clearaudio Universal 12""",Workbook exact-model follow-up for Clearaudio Universal tonearm.,2026-06-18T07:13:18+00:00
326,Clearaudio,"Universal 9""",universal-9,"Clearaudio Universal 9""",Workbook exact-model follow-up for Clearaudio Universal tonearm.,2026-06-18T07:13:18+00:00
319,Clearaudio,Verify,verify,Clearaudio Verify,Workbook exact-model follow-up using official family support plus exact dealer-model page.,2026-06-18T07:02:59+00:00
75,Decca,International & Professional for transcription 12-16inches and SP record as well?,international-professional-for-transcription-12-16inches-and-sp-record-as-well,Decca International & Professional for transcription 12-16inches and SP record as well?,effective_length_raw=228.6 (9inch); overhang_raw=15.875 (0.625inch),2026-06-16T15:53:09+00:00
13,Denon,DA-302/304/308/1000,da-302-304-308-1000,Denon DA-302/304/308/1000,,2026-06-16T15:53:09+00:00
12,Denon,DA-303/305/307/309/401,da-303-305-307-309-401,Denon DA-303/305/307/309/401,,2026-06-16T15:53:09+00:00
226,Dr. Feickert,Straight-10,straight-10,Dr. Feickert Straight-10,Dr. Feickert branded 10 inch gimbal-bearing radial tonearm.,2026-06-16T21:11:25+00:00
262,Durand,Talea,talea,Durand Talea,Official Durand tonearm entry from manufacturer product page.,2026-06-16T23:54:40+00:00
263,Durand,Tosca,tosca,Durand Tosca,Official Durand tonearm entry from manufacturer product page.,2026-06-16T23:54:40+00:00
14,Dynavector,DV-501/505/507,dv-501-505-507,Dynavector DV-501/505/507,,2026-06-16T15:53:09+00:00
282,EMT,909-HI,909-hi,EMT 909-HI,Official EMT 909-HI representation from EMT manual and datasheet.,2026-06-17T02:07:06+00:00
283,EMT,912,912,EMT 912,Official EMT 912 representation from EMT manual and datasheet.,2026-06-17T02:07:06+00:00
77,EMT,929 (it is questionable that RF229/RMA229 made by Ortofon for EMT 930 turntable had exactly same geometry as EMT 929),929-it-is-questionable-that-rf229-rma229-made-by-ortofon-for-emt-930-turntable-had-exactly-same-geometry-as-emt-929,EMT 929 (it is questionable that RF229/RMA229 made by Ortofon for EMT 930 turntable had exactly same geometry as EMT 929),,2026-06-16T15:53:09+00:00
76,Empire,980 & 990,980-990,Empire 980 & 990,effective_length_raw=228.6 (9inch); overhang_raw=17.5? (manual indicates 5/8inch=15.875mm); contains uncertainty markers,2026-06-16T15:53:09+00:00
16,Excel,ES-1000 & Pro S1TA,es-1000-pro-s1ta,Excel ES-1000 & Pro S1TA,,2026-06-16T15:53:09+00:00
15,Excel,ES-801,es-801,Excel ES-801,,2026-06-16T15:53:09+00:00
17,Fidelity Research,FR-12,fr-12,Fidelity Research FR-12,,2026-06-16T15:53:09+00:00
19,Fidelity Research,FR-14/FR-24/FR-54/FR-64,fr-14-fr-24-fr-54-fr-64,Fidelity Research FR-14/FR-24/FR-54/FR-64,,2026-06-16T15:53:09+00:00
18,Fidelity Research,FR-34,fr-34,Fidelity Research FR-34,,2026-06-16T15:53:09+00:00
253,Fidelity Research,FR-64S,fr-64s,Fidelity Research FR-64S,Exact Fidelity Research FR-64S 10-inch tonearm represented from manual-derived review data plus FR-60-series manual mirror.,2026-06-16T23:28:15+00:00
254,Fidelity Research,FR-64fx,fr-64fx,Fidelity Research FR-64fx,Exact Fidelity Research FR-64fx tonearm represented from FR-60-series manual mirror.,2026-06-16T23:28:15+00:00
261,Fidelity Research,FR-66,fr-66,Fidelity Research FR-66,Exact Fidelity Research FR-66 tonearm represented from hifi-wiki model list plus FR-60-series manual mirror template data.,2026-06-16T23:41:30+00:00
20,Fidelity Research,FR-66S,fr-66s,Fidelity Research FR-66S,,2026-06-16T15:53:09+00:00
21,Fidelity Research,FR-66fx,fr-66fx,Fidelity Research FR-66fx,,2026-06-16T15:53:09+00:00
237,Glanz,MH-1000S,mh-1000s,Glanz MH-1000S,Current 10-inch Glanz S Type tonearm.,2026-06-16T22:56:11+00:00
241,Glanz,MH-104S,mh-104s,Glanz MH-104S,Legacy 10-inch Glanz tonearm.,2026-06-16T22:56:11+00:00
244,Glanz,MH-10B,mh-10b,Glanz MH-10B,Current 10-inch Glanz B Type tonearm.,2026-06-16T22:56:11+00:00
246,Glanz,MH-10Bt,mh-10bt,Glanz MH-10Bt,Current 10-inch Glanz Bt Type tonearm.,2026-06-16T22:56:11+00:00
238,Glanz,MH-1200S,mh-1200s,Glanz MH-1200S,Current 12-inch Glanz S Type tonearm.,2026-06-16T22:56:11+00:00
242,Glanz,MH-124S,mh-124s,Glanz MH-124S,Legacy 12-inch Glanz tonearm.,2026-06-16T22:56:11+00:00
239,Glanz,MH-12SUS (MH-124S Premium),mh-12sus-mh-124s-premium,Glanz MH-12SUS (MH-124S Premium),Current Glanz premium 12-inch tonearm.,2026-06-16T22:56:11+00:00
236,Glanz,MH-900S,mh-900s,Glanz MH-900S,Current 9-inch Glanz S Type tonearm.,2026-06-16T22:56:11+00:00
240,Glanz,MH-94S,mh-94s,Glanz MH-94S,Legacy 9-inch Glanz tonearm.,2026-06-16T22:56:11+00:00
243,Glanz,MH-9B,mh-9b,Glanz MH-9B,Current 9-inch Glanz B Type tonearm.,2026-06-16T22:56:11+00:00
245,Glanz,MH-9Bt,mh-9bt,Glanz MH-9Bt,Current 9-inch Glanz Bt Type tonearm.,2026-06-16T22:56:11+00:00
204,Gold Note,B-5.2,b-5-2,Gold Note B-5.2,Current 9 inch Gold Note ball-bearing tonearm.,2026-06-16T16:59:56+00:00
205,Gold Note,B-7 Ceramic,b-7-ceramic,Gold Note B-7 Ceramic,Flagship 9 inch Gold Note tonearm with titanium wand and ceramic bearings.,2026-06-16T16:59:56+00:00
298,Goldmund,T3F,t3f,Goldmund T3F,Exact Goldmund linear-tracking tonearm target from mirrored library support.,2026-06-18T03:14:16+00:00
297,Goldmund,T5,t5,Goldmund T5,Exact Goldmund linear-tracking tonearm target from mirrored manual support.,2026-06-18T03:14:16+00:00
22,Grace,G-540F/640P/704/707/714/727/945,g-540f-640p-704-707-714-727-945,Grace G-540F/640P/704/707/714/727/945,,2026-06-16T15:53:09+00:00
23,Grace,G-565F/660P/860F/860FB/960,g-565f-660p-860f-860fb-960,Grace G-565F/660P/860F/860FB/960,,2026-06-16T15:53:09+00:00
78,Graham,"Model 1.5t (US Patent 4686664: ""for purposes of explanation only, one arm has the following dimensions: effective length 235 mm, offset angle of 23.5 degree and overhang of 17.638 mm."" ) Baerwald ""1"" or Loefgren ""2"" overhang can be selectable.",model-1-5t-us-patent-4686664-for-purposes-of-explanation-only-one-arm-has-the-following-dimensions-effective-length-235-mm-offset-angle-of-23-5-degree-and-overhang-of-17-638-mm-baerwald-1-or-loefgren-2-overhang-can-be-selectable,"Graham Model 1.5t (US Patent 4686664: ""for purposes of explanation only, one arm has the following dimensions: effective length 235 mm, offset angle of 23.5 degree and overhang of 17.638 mm."" ) Baerwald ""1"" or Loefgren ""2"" overhang can be selectable.",effective_length_raw=235=Baerwald,2026-06-16T15:53:09+00:00
136,Graham,Phantom Elite 10-inch,phantom-elite-10-inch,Graham Phantom Elite 10-inch,,2026-06-16T16:35:49+00:00
137,Graham,Phantom Elite 12-inch,phantom-elite-12-inch,Graham Phantom Elite 12-inch,,2026-06-16T16:35:49+00:00
135,Graham,Phantom Elite 9-inch,phantom-elite-9-inch,Graham Phantom Elite 9-inch,,2026-06-16T16:35:49+00:00
133,Graham,Phantom III 10-inch,phantom-iii-10-inch,Graham Phantom III 10-inch,,2026-06-16T16:35:49+00:00
134,Graham,Phantom III 12-inch,phantom-iii-12-inch,Graham Phantom III 12-inch,,2026-06-16T16:35:49+00:00
132,Graham,Phantom III 9-inch,phantom-iii-9-inch,Graham Phantom III 9-inch,,2026-06-16T16:35:49+00:00
190,Graham,Phantom III SE 10-inch,phantom-iii-se-10-inch,Graham Phantom III SE 10-inch,,2026-06-16T16:50:17+00:00
191,Graham,Phantom III SE 12-inch,phantom-iii-se-12-inch,Graham Phantom III SE 12-inch,,2026-06-16T16:50:17+00:00
189,Graham,Phantom III SE 9-inch,phantom-iii-se-9-inch,Graham Phantom III SE 9-inch,,2026-06-16T16:50:17+00:00
24,Guya,STO-140 (Arm distance:237mm),sto-140-arm-distance-237mm,Guya STO-140 (Arm distance:237mm),offset_angle_raw=20 as per leaflet,2026-06-16T15:53:09+00:00
79,Hadcock,GH228,gh228,Hadcock GH228,,2026-06-16T15:53:09+00:00
80,Hadcock,GH242 Special Edition,gh242-special-edition,Hadcock GH242 Special Edition,,2026-06-16T15:53:09+00:00
82,Helius,Aureus & Scorpio,aureus-scorpio,Helius Aureus & Scorpio,contains uncertainty markers,2026-06-16T15:53:09+00:00
81,Helius,Orion,orion,Helius Orion,contains uncertainty markers,2026-06-16T15:53:09+00:00
26,Ikeda,IT-345 & IT-245,it-345-it-245,Ikeda IT-345 & IT-245,,2026-06-16T15:53:09+00:00
25,Ikeda,IT-407,it-407,Ikeda IT-407,,2026-06-16T15:53:09+00:00
83,Immedia,RPM-2,rpm-2,Immedia RPM-2,,2026-06-16T15:53:09+00:00
84,Infinity,Black Widow,black-widow,Infinity Black Widow,,2026-06-16T15:53:09+00:00
247,J.Sikora,KV12 VTA,kv12-vta,J.Sikora KV12 VTA,Official J.Sikora KV12 Kevlar unipivot tonearm.,2026-06-16T23:05:58+00:00
328,Jelco,SA 200,sa-200,Jelco SA 200,Workbook exact-model follow-up using exact secondary model references plus official Jelco family support.,2026-06-18T07:14:49+00:00
307,Jelco,SA 250,sa-250,Jelco SA 250,Workbook exact-model follow-up for Jelco short S-shape arm.,2026-06-18T06:55:13+00:00
329,Jelco,SA 250BV,sa-250bv,Jelco SA 250BV,Workbook exact-model follow-up using exact secondary model references plus official Jelco family support.,2026-06-18T07:14:49+00:00
308,Jelco,SA 250ST,sa-250st,Jelco SA 250ST,Workbook exact-model follow-up for Jelco straight arm.,2026-06-18T06:55:13+00:00
330,Jelco,SA 50,sa-50,Jelco SA 50,Workbook exact-model follow-up using exact secondary model references plus official Jelco family support.,2026-06-18T07:14:49+00:00
331,Jelco,SA 50ST,sa-50st,Jelco SA 50ST,Workbook exact-model follow-up using exact secondary model references plus official Jelco family support.,2026-06-18T07:14:49+00:00
309,Jelco,SA 750D,sa-750d,Jelco SA 750D,Workbook exact-model follow-up for Jelco oil-damped short S-shape arm.,2026-06-18T06:55:13+00:00
310,Jelco,SA 750DB,sa-750db,Jelco SA 750DB,Workbook exact-model follow-up for black-finish Jelco SA-750DB variant.,2026-06-18T06:55:13+00:00
311,Jelco,SA 750E,sa-750e,Jelco SA 750E,Workbook exact-model follow-up for 10-inch Jelco oil-damped arm.,2026-06-18T06:55:13+00:00
312,Jelco,SA 750L,sa-750l,Jelco SA 750L,Workbook exact-model follow-up for 12-inch Jelco oil-damped arm.,2026-06-18T06:55:13+00:00
27,Jelco,SA-250 & SA-750D (S-shape wand),sa-250-sa-750d-s-shape-wand,Jelco SA-250 & SA-750D (S-shape wand),,2026-06-16T15:53:09+00:00
28,Jelco,SA-250st (Straight wand),sa-250st-straight-wand,Jelco SA-250st (Straight wand),,2026-06-16T15:53:09+00:00
29,Jelco,SA-750LB (S-shape wand),sa-750lb-s-shape-wand,Jelco SA-750LB (S-shape wand),,2026-06-16T15:53:09+00:00
314,Jelco,TK 850L,tk-850l,Jelco TK 850L,Workbook exact-model follow-up for Jelco knife-edge long arm.,2026-06-18T07:02:19+00:00
313,Jelco,TK 850S,tk-850s,Jelco TK 850S,Workbook exact-model follow-up for Jelco knife-edge short arm.,2026-06-18T07:02:19+00:00
316,Jelco,TK 950L,tk-950l,Jelco TK 950L,Workbook exact-model follow-up for Jelco dynamic-balance long arm.,2026-06-18T07:02:19+00:00
315,Jelco,TK 950S,tk-950s,Jelco TK 950S,Workbook exact-model follow-up for Jelco dynamic-balance short arm.,2026-06-18T07:02:19+00:00
86,Keith Monks,M9BA Laboratory Arm MKIII,m9ba-laboratory-arm-mkiii,Keith Monks M9BA Laboratory Arm MKIII,,2026-06-16T15:53:09+00:00
185,Korf,TA-SF11R,ta-sf11r,Korf TA-SF11R,Pivoting 11 inch gimbal tonearm with removable headshell.,2026-06-16T16:50:17+00:00
184,Korf,TA-SF9,ta-sf9,Korf TA-SF9,Pivoting 9 inch gimbal tonearm with fixed headshell.,2026-06-16T16:50:17+00:00
291,Korf,TA-SF9R,ta-sf9r,Korf TA-SF9R,Official Korf removable-headshell 9-inch target from current lineup.,2026-06-18T03:03:17+00:00
273,Koshin,GST-1,gst-1,Koshin GST-1,Exact Koshin target represented from dealer archive page and community discussion.,2026-06-17T00:27:42+00:00
272,Koshin,GST-801,gst-801,Koshin GST-801,Exact Koshin target represented from community archival discussion with setup geometry and operating notes.,2026-06-17T00:27:42+00:00
138,Kuzma,4Point 11-inch,4point-11-inch,Kuzma 4Point 11-inch,,2026-06-16T16:35:49+00:00
203,Kuzma,4Point 14-inch,4point-14-inch,Kuzma 4Point 14-inch,Long 14 inch 4Point variant requiring 12 inch mounting position.,2026-06-16T16:54:38+00:00
202,Kuzma,4Point 9-inch,4point-9-inch,Kuzma 4Point 9-inch,Shorter 4Point variant.,2026-06-16T16:54:38+00:00
163,Kuzma,Air Line 7-inch,air-line-7-inch,Kuzma Air Line 7-inch,,2026-06-16T16:41:04+00:00
289,Kuzma,Safir 9,safir-9,Kuzma Safir 9,Official Kuzma flagship sapphire-tonearm target from current lineup.,2026-06-18T01:37:40+00:00
87,Kuzma,Stogi,stogi,Kuzma Stogi,,2026-06-16T15:53:09+00:00
216,Kuzma,Stogi Ref 313,stogi-ref-313,Kuzma Stogi Ref 313,Exact 12 inch Stogi Ref variant.,2026-06-16T17:54:38+00:00
165,Kuzma,Stogi Ref 313 VTA,stogi-ref-313-vta,Kuzma Stogi Ref 313 VTA,,2026-06-16T16:41:04+00:00
164,Kuzma,Stogi Ref 9-inch,stogi-ref-9-inch,Kuzma Stogi Ref 9-inch,,2026-06-16T16:41:04+00:00
221,Kuzma,Stogi S 12-inch,stogi-s-12-inch,Kuzma Stogi S 12-inch,Official product-name row: Stogi S 12.,2026-06-16T20:35:20+00:00
222,Kuzma,Stogi S 12-inch VTA,stogi-s-12-inch-vta,Kuzma Stogi S 12-inch VTA,Official product-name row: Stogi S 12VTA.,2026-06-16T20:35:20+00:00
139,Kuzma,Stogi S 9-inch,stogi-s-9-inch,Kuzma Stogi S 9-inch,,2026-06-16T16:35:49+00:00
88,Linn,Akito/Basik/Ittok/Ekos,akito-basik-ittok-ekos,Linn Akito/Basik/Ittok/Ekos,,2026-06-16T15:53:09+00:00
276,Linn,Ekos SE,ekos-se,Linn Ekos SE,Official Linn Ekos SE tonearm representation from manufacturer documentation.,2026-06-17T00:51:16+00:00
89,Logic,datum S,datum-s,Logic datum S,,2026-06-16T15:53:09+00:00
30,Lustre,GST-1,gst-1,Lustre GST-1,contains uncertainty markers,2026-06-16T15:53:09+00:00
31,Lustre,GST-801,gst-801,Lustre GST-801,contains uncertainty markers,2026-06-16T15:53:09+00:00
90,Magnepan,Unitrac-1,unitrac-1,Magnepan Unitrac-1,,2026-06-16T15:53:09+00:00
92,Manticore,Magician 12inch,magician-12inch,Manticore Magician 12inch,,2026-06-16T15:53:09+00:00
91,Manticore,Musician/Magician,musician-magician,Manticore Musician/Magician,,2026-06-16T15:53:09+00:00
94,Mayware,Formula 4 MK III/IV/V,formula-4-mk-iii-iv-v,Mayware Formula 4 MK III/IV/V,overhang_raw=around 17; offset_angle_raw=around 23.5,2026-06-16T15:53:09+00:00
93,Mayware,Formula 4 Model PL S4/D,formula-4-model-pl-s4-d,Mayware Formula 4 Model PL S4/D,,2026-06-16T15:53:09+00:00
233,Michell,T2 Tonearm,t2-tonearm,Michell T2 Tonearm,Current Michell entry-level tonearm.,2026-06-16T22:56:11+00:00
234,Michell,T8 Tonearm,t8-tonearm,Michell T8 Tonearm,Current Michell audiophile tonearm.,2026-06-16T22:56:11+00:00
235,Michell,TecnoArm 2,tecnoarm-2,Michell TecnoArm 2,Current Michell reference-class tonearm.,2026-06-16T22:56:11+00:00
32,Micro,MA-202,ma-202,Micro MA-202,,2026-06-16T15:53:09+00:00
33,Micro,MA-303,ma-303,Micro MA-303,,2026-06-16T15:53:09+00:00
35,Micro,"MA-505, MA-707, MAX-237, CF-1(dynamic)",ma-505-ma-707-max-237-cf-1-dynamic,"Micro MA-505, MA-707, MAX-237, CF-1(dynamic)",,2026-06-16T15:53:09+00:00
34,Micro,"MA-701, CF-2 (static)",ma-701-cf-2-static,"Micro MA-701, CF-2 (static)",,2026-06-16T15:53:09+00:00
36,Micro,MAX-282 & MA-505L,max-282-ma-505l,Micro MAX-282 & MA-505L,,2026-06-16T15:53:09+00:00
270,Micro Seiki,MA-505,ma-505,Micro Seiki MA-505,Exact historic Micro Seiki tonearm represented from scanned operating manual mirror.,2026-06-17T00:11:05+00:00
271,Micro Seiki,MA-707,ma-707,Micro Seiki MA-707,Exact historic Micro Seiki tonearm represented from scanned operating manual mirror.,2026-06-17T00:11:05+00:00
95,Mission,774 Original,774-original,Mission 774 Original,contains uncertainty markers,2026-06-16T15:53:09+00:00
96,Moerch,DP-6 & UP-4,dp-6-up-4,Moerch DP-6 & UP-4,,2026-06-16T15:53:09+00:00
169,Moerch,DP-6 12-inch,dp-6-12-inch,Moerch DP-6 12-inch,,2026-06-16T16:41:04+00:00
151,Moerch,DP-6 9-inch,dp-6-9-inch,Moerch DP-6 9-inch,,2026-06-16T16:38:05+00:00
170,Moerch,DP-8 12-inch,dp-8-12-inch,Moerch DP-8 12-inch,,2026-06-16T16:41:04+00:00
152,Moerch,DP-8 9-inch,dp-8-9-inch,Moerch DP-8 9-inch,,2026-06-16T16:38:05+00:00
220,Moerch,UP-4 12-inch,up-4-12-inch,Moerch UP-4 12-inch,UP-4 12 inch variant using shared official geometry.,2026-06-16T20:33:51+00:00
219,Moerch,UP-4 9-inch,up-4-9-inch,Moerch UP-4 9-inch,UP-4 9 inch variant using shared official geometry.,2026-06-16T20:33:51+00:00
232,Music Hall,MMF-1.3,mmf-1-3,Music Hall MMF-1.3,Entry Music Hall turntable package.,2026-06-16T21:14:07+00:00
231,Music Hall,MMF-2.3,mmf-2-3,Music Hall MMF-2.3,Entry Music Hall turntable package.,2026-06-16T21:14:07+00:00
230,Music Hall,MMF-3.3,mmf-3-3,Music Hall MMF-3.3,Dual-plinth Music Hall turntable package.,2026-06-16T21:14:07+00:00
